symbol,corp_code,corp_name,stock_name,industryCode,industryName,establishedDate,ceo,homepage,address,businessSummary,updatedAt
028670,00122737,팬오션(주),팬오션,50112,수상 운송,19660528,"김홍국, 안중호(각자 대표이사)",www.panocean.com,서울특별시 종로구 종로5길 7 Tower 8 팬오션(주),수상 운송 · 1966년 설립,2026-08-03 06:52:55
030200,00190321,(주)케이티,케이티,612,통신업,19811210,박윤영,www.kt.com,경기도 성남시 분당구 불정로 90 KT 본사,통신업 · 1981년 설립,2026-08-03 06:52:55
032640,00231363,(주)LG유플러스,LG유플러스,61220,통신업,19960711,홍범식,www.uplus.co.kr,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,통신업 · 1996년 설립,2026-08-03 06:52:55
032830,00126256,삼성생명보험(주),삼성생명,65110,보험업,19570404,홍원학,www.samsunglife.com,서울특별시 서초구 서초대로74길 11 (서초동) 삼성생명보험 주식회사,보험업 · 1957년 설립,2026-08-03 06:52:55
034020,00159616,두산에너빌리티(주),두산에너빌리티,29119,기타 기계·장비 제조,19620920,"박지원, 정연인, 박상현",https://www.doosanenerbility.com/kr,경상남도 창원시 성산구  두산볼보로 22 두산중공업 주식회사,기타 기계·장비 제조 · 1962년 설립,2026-08-03 06:52:55
034730,00181712,SK(주),SK,64992,금융업,19910413,"최태원, 장용호",www.sk-inc.com/,서울특별시 종로구 종로 26 SK주식회사,금융업 · 1991년 설립,2026-08-03 06:52:55
035420,00266961,네이버(주),NAVER,63120,정보서비스업,19990602,최수연,www.navercorp.com,경기도 성남시 분당구 정자일로 95 1784,정보서비스업 · 1999년 설립,2026-08-03 06:52:55
035720,00258801,(주)카카오,카카오,63120,정보서비스업,19950216,정신아,www.kakaocorp.com,제주특별자치도 제주시 첨단로 242,정보서비스업 · 1995년 설립,2026-08-03 06:52:55
035900,00258689,(주)제이와이피엔터테인먼트,JYP Ent.,59201,영상·오디오 제작,19960425,정욱,www.jype.com,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩)",영상·오디오 제작 · 1996년 설립,2026-08-03 06:52:55
036930,00252135,주성엔지니어링(주),주성엔지니어링,29229,기타 기계·장비 제조,19950413,"황철주, 황은석(각자대표이사)",www.jseng.com,경기도 광주시  오포읍 오포로 240 주성엔지니어링,기타 기계·장비 제조 · 1995년 설립,2026-08-03 06:52:55
039030,00246417,(주)이오테크닉스,이오테크닉스,29271,기타 기계·장비 제조,19931230,"성규동,박종구(각자대표이사)",www.eotechnics.com,경기도 안양시 동안구 동편로 91,기타 기계·장비 제조 · 1993년 설립,2026-08-03 06:52:55
039440,00298340,(주)에스티아이,에스티아이,29271,기타 기계·장비 제조,19970710,"서인수, 이우석 (각자대표)",www.stinc.co.kr,경기도 안성시 공도읍 봉기길 21 -,기타 기계·장비 제조 · 1997년 설립,2026-08-03 06:52:55
041510,00260930,(주)에스엠엔터테인먼트,에스엠,59201,영상·오디오 제작,19950214,"장철혁, 탁영준",smentertainment.com,서울특별시 성동구 왕십리로 83-21 아크로 서울포레스트 디타워,영상·오디오 제작 · 1995년 설립,2026-08-03 06:52:55
042660,00111704,한화오션(주),한화오션,3111,기타 운송장비 제조,20001023,김희철,www.hanwhaocean.com/pub/main/index.do,경상남도 거제시 거제대로 3370 (아주동),기타 운송장비 제조 · 2000년 설립,2026-08-03 06:52:55
042700,00161383,한미반도체(주),한미반도체,29271,기타 기계·장비 제조,19801224,곽동신,www.hanmisemi.com,인천광역시 서구 가좌로30번길 14,기타 기계·장비 제조 · 1980년 설립,2026-08-03 06:52:55
047810,00309503,한국항공우주산업(주),한국항공우주,31311,기타 운송장비 제조,19991001,김종출,www.koreaaero.com,경상남도 사천시  사남면 공단1로 78 한국항공우주산업,기타 운송장비 제조 · 1999년 설립,2026-08-03 06:52:55
051910,00356361,(주)LG화학,LG화학,20111,화학물질·화학제품 제조,20010401,김동춘,www.lgchem.com,서울특별시 영등포구  여의대로 128,화학물질·화학제품 제조 · 2001년 설립,2026-08-03 06:52:55
055550,00382199,(주)신한금융지주회사,신한지주,64992,금융업,20010901,진옥동,www.shinhangroup.com,서울특별시 중구 세종대로9길 20 태평로2가,금융업 · 2001년 설립,2026-08-03 06:52:55
058470,00369657,리노공업(주),리노공업,2629,전자부품·컴퓨터·통신장비 제조,19961220,이채윤,leeno.com/kr,부산광역시 강서구 미음산단로105번길 10,전자부품·컴퓨터·통신장비 제조 · 1996년 설립,2026-08-03 06:52:55
