market,symbol,name,reason,updatedAt
kr,105560,KB금융,candidate_universe|user_added,2026-06-01T19:32:10
kr,108320,LX세미콘,candidate_universe,2026-06-01T19:32:10
kr,108490,로보티즈,candidate_universe|user_added,2026-06-01T19:32:10
kr,121600,나노신소재,candidate_universe,2026-06-01T19:32:10
kr,128940,한미약품,candidate_universe,2026-06-01T19:32:10
kr,131970,두산테스나,holding_added,2026-06-01T20:05:20
kr,138040,메리츠금융지주,candidate_universe|user_added,2026-06-01T19:32:10
kr,145020,휴젤,candidate_universe,2026-06-01T19:32:10
kr,196170,196170,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,207940,207940,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,214150,214150,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,214450,파마리서치,candidate_universe|user_added,2026-06-01T19:32:10
kr,222800,심텍,holding_added,2026-06-01T20:05:20
kr,240810,원익IPS,candidate_universe,2026-06-01T19:32:10
kr,247540,에코프로비엠,candidate_universe|user_added,2026-06-01T19:32:10
kr,259960,크래프톤,candidate_universe,2026-06-01T19:32:10
kr,267260,267260,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,272210,한화시스템,candidate_universe|user_added,2026-06-01T19:32:10
kr,277810,레인보우로보틱스,candidate_universe|user_added,2026-06-01T19:32:10
kr,278280,천보,candidate_universe,2026-06-01T19:32:10
kr,278470,에이피알,candidate_universe,2026-06-01T19:32:10
kr,293490,카카오게임즈,candidate_universe,2026-06-01T19:32:10
kr,298040,효성중공업,candidate_universe|user_added,2026-06-01T19:32:10
kr,326030,SK바이오팜,candidate_universe,2026-06-01T19:32:10
kr,329180,HD현대중공업,candidate_universe|user_added,2026-06-01T19:32:10
kr,352820,하이브,candidate_universe,2026-06-01T19:32:10
kr,353200,대덕전자,candidate_universe,2026-06-01T19:32:10
kr,373220,373220,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,375500,375500,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,402340,SK스퀘어,candidate_universe|user_added,2026-06-01T19:32:10
kr,403870,HPSP,candidate_universe|user_added,2026-06-01T19:32:10
kr,454910,두산로보틱스,candidate_universe|user_added,2026-06-01T19:32:10
