market,symbol,status,provider,rows,file,message
kr,298040,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_298040_daily.csv,
kr,006260,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_006260_daily.csv,
kr,001440,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_001440_daily.csv,
kr,103590,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_103590_daily.csv,
kr,034020,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_034020_daily.csv,
kr,012450,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_012450_daily.csv,
kr,079550,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_079550_daily.csv,
kr,064350,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_064350_daily.csv,
kr,272210,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_272210_daily.csv,
kr,329180,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_329180_daily.csv,
kr,010140,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_010140_daily.csv,
kr,042660,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_042660_daily.csv,
kr,277810,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_277810_daily.csv,
kr,454910,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_454910_daily.csv,
kr,108490,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_108490_daily.csv,
kr,090360,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_090360_daily.csv,
kr,000270,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_000270_daily.csv,
kr,012330,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_012330_daily.csv,
kr,035420,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_035420_daily.csv,
kr,035720,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_035720_daily.csv,
kr,018260,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_018260_daily.csv,
kr,402340,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_402340_daily.csv,
kr,207940,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_207940_daily.csv,
kr,068270,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_068270_daily.csv,
kr,196170,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_196170_daily.csv,
kr,000100,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_000100_daily.csv,
kr,214450,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_214450_daily.csv,
kr,214150,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_214150_daily.csv,
kr,006400,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_006400_daily.csv,
kr,051910,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_051910_daily.csv,
kr,005490,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_005490_daily.csv,
kr,003670,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_003670_daily.csv,
kr,247540,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_247540_daily.csv,
kr,086520,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_086520_daily.csv,
kr,066970,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_066970_daily.csv,
kr,000720,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_000720_daily.csv,
kr,006360,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_006360_daily.csv,
kr,105560,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_105560_daily.csv,
kr,055550,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_055550_daily.csv,
kr,086790,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_086790_daily.csv,
kr,138040,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_138040_daily.csv,
kr,222800,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_222800_daily.csv,
kr,131970,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_131970_daily.csv,
