date,open,high,low,close,volume,source
2024-11-14,694.16,702.08,681.3,681.56,800,yfinance
2024-11-15,675.64,688.91,668.38,685.42,900,yfinance
2024-11-18,683.53,697.45,681.0,689.55,900,yfinance
2024-11-19,690.45,691.13,682.5,686.12,900,yfinance
2024-11-20,689.03,691.0,682.03,682.91,900,yfinance
2024-11-21,683.1,685.91,672.83,680.67,1000,yfinance
2024-11-22,682.37,689.99,676.06,677.01,800,yfinance
2024-11-25,683.37,698.51,683.37,696.83,800,yfinance
2024-11-26,697.59,699.7,689.53,693.15,800,yfinance
2024-11-27,693.8,696.15,686.37,692.0,900,yfinance
2024-11-28,694.96,697.91,691.61,694.39,900,yfinance
2024-11-29,694.24,694.24,677.08,678.19,900,yfinance
2024-12-02,684.15,687.7,675.78,675.84,700,yfinance
2024-12-03,678.98,692.81,678.98,690.8,800,yfinance
2024-12-04,677.59,687.94,671.6,677.15,900,yfinance
2024-12-05,679.79,680.02,669.27,670.94,700,yfinance
2024-12-06,670.7,671.34,644.39,661.33,900,yfinance
2024-12-09,649.35,649.35,627.01,627.01,900,yfinance
2024-12-10,635.94,661.6,635.94,661.59,900,yfinance
2024-12-11,661.71,677.55,661.71,675.92,1000,yfinance
2024-12-12,680.97,687.0,674.31,683.35,1000,yfinance
2024-12-13,684.25,695.76,683.3,693.73,900,yfinance
2024-12-16,699.81,701.67,695.67,698.53,1000,yfinance
2024-12-17,699.52,699.52,691.58,694.47,1000,yfinance
2024-12-18,694.94,699.18,690.4,697.57,900,yfinance
2024-12-19,682.53,688.29,679.85,684.36,800,yfinance
2024-12-20,684.79,685.1,667.0,668.31,900,yfinance
2024-12-23,674.26,683.16,671.09,679.24,700,yfinance
2024-12-24,683.02,685.87,679.23,680.11,600,yfinance
2024-12-26,684.21,684.36,674.81,675.64,800,yfinance
2024-12-27,674.3,677.5,661.24,665.97,800,yfinance
2024-12-30,662.68,679.68,661.92,678.19,600,yfinance
2025-01-02,678.98,687.25,675.96,686.63,700,yfinance
2025-01-03,688.04,706.46,687.73,705.76,900,yfinance
