date,market,symbol,open,high,low,close,volume,source,updatedAt
2019-05-09,kr,KOSPI,2159.79,2164.98,2102.01,2102.01,743500,yfinance/fdr,2026-08-03T23:05:42
2019-05-10,kr,KOSPI,2118.42,2124.92,2090.39,2108.04,714800,yfinance/fdr,2026-08-03T23:05:42
2019-05-13,kr,KOSPI,2091.8,2101.09,2077.72,2079.01,505800,yfinance/fdr,2026-08-03T23:05:42
2019-05-14,kr,KOSPI,2060.24,2093.41,2056.74,2081.84,696200,yfinance/fdr,2026-08-03T23:05:42
2019-05-15,kr,KOSPI,2081.92,2100.01,2076.46,2092.78,577800,yfinance/fdr,2026-08-03T23:05:42
2019-05-16,kr,KOSPI,2094.88,2095.58,2062.44,2067.69,745200,yfinance/fdr,2026-08-03T23:05:42
2019-05-17,kr,KOSPI,2081.57,2082.83,2053.79,2055.8,537400,yfinance/fdr,2026-08-03T23:05:42
2019-05-20,kr,KOSPI,2066.53,2077.1,2051.69,2055.71,640200,yfinance/fdr,2026-08-03T23:05:42
2019-05-21,kr,KOSPI,2056.95,2076.47,2053.69,2061.25,526900,yfinance/fdr,2026-08-03T23:05:42
2019-05-22,kr,KOSPI,2068.65,2070.8,2048.01,2064.86,510000,yfinance/fdr,2026-08-03T23:05:42
2019-05-23,kr,KOSPI,2063.25,2065.86,2046.82,2059.59,509300,yfinance/fdr,2026-08-03T23:05:42
2019-05-24,kr,KOSPI,2047.3,2057.38,2035.98,2045.31,480600,yfinance/fdr,2026-08-03T23:05:42
2019-05-27,kr,KOSPI,2044.25,2055.13,2035.87,2044.21,351600,yfinance/fdr,2026-08-03T23:05:42
2019-05-28,kr,KOSPI,2044.77,2058.42,2038.52,2048.83,494500,yfinance/fdr,2026-08-03T23:05:42
2019-05-29,kr,KOSPI,2046.71,2046.71,2016.25,2023.32,380900,yfinance/fdr,2026-08-03T23:05:42
2019-05-30,kr,KOSPI,2024.33,2040.66,2023.91,2038.8,461900,yfinance/fdr,2026-08-03T23:05:42
2019-05-31,kr,KOSPI,2029.03,2048.9,2022.97,2041.74,439200,yfinance/fdr,2026-08-03T23:05:42
2019-06-03,kr,KOSPI,2031.03,2070.58,2029.17,2067.85,387100,yfinance/fdr,2026-08-03T23:05:42
2019-06-04,kr,KOSPI,2066.78,2072.19,2060.98,2066.97,436000,yfinance/fdr,2026-08-03T23:05:42
2019-06-05,kr,KOSPI,2084.16,2086.49,2065.71,2069.11,380200,yfinance/fdr,2026-08-03T23:05:42
2019-06-07,kr,KOSPI,2070.78,2081.16,2057.97,2072.33,368400,yfinance/fdr,2026-08-03T23:05:42
2019-06-10,kr,KOSPI,2087.37,2099.65,2075.51,2099.49,457600,yfinance/fdr,2026-08-03T23:05:42
2019-06-11,kr,KOSPI,2096.09,2114.57,2094.6,2111.81,550700,yfinance/fdr,2026-08-03T23:05:42
2019-06-12,kr,KOSPI,2111.66,2118.89,2104.41,2108.75,693500,yfinance/fdr,2026-08-03T23:05:42
2019-06-13,kr,KOSPI,2104.46,2108.01,2081.92,2103.15,553400,yfinance/fdr,2026-08-03T23:05:42
2019-06-14,kr,KOSPI,2096.32,2103.02,2087.47,2095.41,473400,yfinance/fdr,2026-08-03T23:05:42
2019-06-17,kr,KOSPI,2091.71,2103.59,2087.25,2090.73,561600,yfinance/fdr,2026-08-03T23:05:42
2019-06-18,kr,KOSPI,2089.31,2103.02,2089.31,2098.71,601000,yfinance/fdr,2026-08-03T23:05:42
2019-06-19,kr,KOSPI,2119.54,2126.74,2117.64,2124.78,863000,yfinance/fdr,2026-08-03T23:05:42
2019-06-20,kr,KOSPI,2121.78,2131.77,2120.42,2131.29,1007200,yfinance/fdr,2026-08-03T23:05:42
2019-06-21,kr,KOSPI,2132.38,2132.68,2120.15,2125.62,692000,yfinance/fdr,2026-08-03T23:05:42
2019-06-24,kr,KOSPI,2130.32,2134.48,2123.88,2126.33,669600,yfinance/fdr,2026-08-03T23:05:42
2019-06-25,kr,KOSPI,2125.74,2136.24,2115.11,2121.64,643000,yfinance/fdr,2026-08-03T23:05:42
2019-06-26,kr,KOSPI,2120.2,2128.25,2115.72,2121.85,736900,yfinance/fdr,2026-08-03T23:05:42
2019-06-27,kr,KOSPI,2120.73,2141.27,2118.22,2134.32,644900,yfinance/fdr,2026-08-03T23:05:42
