date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2025-07-01,kr,078930,47050,49450,46800,48750,752420,0.045016077170418,FinanceDataReader,2026-07-22T22:30:42
2025-07-02,kr,078930,48950,49000,46850,48800,332594,0.0010256410256410664,FinanceDataReader,2026-07-22T22:30:42
2025-07-03,kr,078930,49600,50500,48850,49550,670496,0.015368852459016313,FinanceDataReader,2026-07-22T22:30:42
2025-07-04,kr,078930,50000,50000,48250,48500,248174,-0.021190716448032276,FinanceDataReader,2026-07-22T22:30:42
2025-07-07,kr,078930,48250,48600,47450,48300,159903,-0.004123711340206171,FinanceDataReader,2026-07-22T22:30:42
2025-07-08,kr,078930,48250,50200,47900,49900,410111,0.0331262939958592,FinanceDataReader,2026-07-22T22:30:42
2025-07-09,kr,078930,50200,53000,50000,53000,476224,0.06212424849699394,FinanceDataReader,2026-07-22T22:30:42
2025-07-10,kr,078930,53500,53500,52200,52800,414452,-0.0037735849056603765,FinanceDataReader,2026-07-22T22:30:42
2025-07-11,kr,078930,52500,53000,51700,52100,327041,-0.013257575757575801,FinanceDataReader,2026-07-22T22:30:42
2025-07-14,kr,078930,51600,54200,51600,53600,615733,0.028790786948176494,FinanceDataReader,2026-07-22T22:30:42
2025-07-15,kr,078930,53600,54000,52700,53200,302873,-0.007462686567164201,FinanceDataReader,2026-07-22T22:30:42
2025-07-16,kr,078930,56600,56700,54500,55500,798125,0.043233082706766846,FinanceDataReader,2026-07-22T22:30:42
2025-07-17,kr,078930,56400,56400,53700,54100,405473,-0.02522522522522519,FinanceDataReader,2026-07-22T22:30:42
2025-07-18,kr,078930,53900,54500,52400,52900,408340,-0.02218114602587795,FinanceDataReader,2026-07-22T22:30:42
2025-07-21,kr,078930,52200,52300,51400,51800,296479,-0.020793950850661602,FinanceDataReader,2026-07-22T22:30:42
2025-07-22,kr,078930,52200,53100,51500,51600,275694,-0.0038610038610038533,FinanceDataReader,2026-07-22T22:30:42
2025-07-23,kr,078930,52000,52800,51200,51700,205242,0.0019379844961240345,FinanceDataReader,2026-07-22T22:30:42
2025-07-24,kr,078930,52200,52800,50900,51200,316260,-0.009671179883945835,FinanceDataReader,2026-07-22T22:30:42
2025-07-25,kr,078930,51100,51900,50900,51300,151686,0.001953125,FinanceDataReader,2026-07-22T22:30:42
2025-07-28,kr,078930,50700,51300,49600,49900,330286,-0.02729044834307992,FinanceDataReader,2026-07-22T22:30:42
2025-07-29,kr,078930,49450,49800,48700,49500,306816,-0.008016032064128265,FinanceDataReader,2026-07-22T22:30:42
2025-07-30,kr,078930,49500,50400,49500,49750,170441,0.005050505050504972,FinanceDataReader,2026-07-22T22:30:42
2025-07-31,kr,078930,49600,50500,49050,49300,152623,-0.009045226130653283,FinanceDataReader,2026-07-22T22:30:42
2025-08-01,kr,078930,48600,49000,46800,46800,425777,-0.05070993914807298,FinanceDataReader,2026-07-22T22:30:42
2025-08-04,kr,078930,46700,47850,46700,47550,180142,0.01602564102564097,FinanceDataReader,2026-07-22T22:30:42
2025-08-05,kr,078930,47750,48400,47500,47500,249228,-0.001051524710830698,FinanceDataReader,2026-07-22T22:30:42
2025-08-06,kr,078930,47450,48500,47450,48350,124618,0.017894736842105186,FinanceDataReader,2026-07-22T22:30:42
2025-08-07,kr,078930,48500,48650,47600,48200,178443,-0.0031023784901758056,FinanceDataReader,2026-07-22T22:30:42
2025-08-08,kr,078930,47850,48300,47700,48050,102086,-0.003112033195020736,FinanceDataReader,2026-07-22T22:30:42
