section,항목,현재가,등락률,상태,테마,관련 뉴스 개수,긍정 뉴스 비율,부정 뉴스 비율,관련 종목,테마 점수,구분,종목명,티커,RSI,MACD 상태,거래량 상태,지지선,저항선,손절가,목표가,손익비,종합점수,뉴스 보조점수,뉴스 반영점수,뉴스 모멘텀,최종판단,매수 후보,주의 신호,데이터 상태,평균매수가,수익률,평가손익,손절가 이탈 여부,익절 구간 접근 여부,현재 대응 의견,언급 횟수,긍정 뉴스,부정 뉴스,평균 중요도,datetime,title,source,summary,ticker,theme,sentiment,importance,url,market,collected_at,momentum,부정/주의 뉴스,시장,섹터,계좌,메모,현재가_숫자,평균매수가_숫자,보유수량,평가금액_숫자,매입금액_숫자,평가손익_숫자,수익률_숫자,종합점수_숫자,손익비_숫자,RSI_숫자,등락률_숫자,지지선_숫자,저항선_숫자,손절가_숫자,목표가_숫자,목표비중_숫자,포트폴리오비중_숫자,추가매수 판단,비중축소 판단,대응 의견,목표 비중,목표 대비 차이,조정 필요 여부,평가금액,포트폴리오 비중
관심종목 우선순위,,"25,750원",-4.81%,,,,,,,,관심,대한항공,003490.KS,54.9,강세,보통,"23,800원","27,350원","23,324원","28,170원",1.00,70.8,0.0,70.8,뉴스 부족으로 판단 보류,관망 우위,제외,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"646,000원",+5.38%,,,,,,,,관심,현대차,005380.KS,72.0,강세,거래량 증가,"474,500원","654,000원","465,010원","697,680원",0.29,70.2,0.0,70.2,뉴스 부족으로 판단 보류,관망 우위,제외,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$217.37,-0.95%,,,,,,,,보유,NVIDIA,NVDA,61.4,강세,거래량 감소,$194.74,$223.75,$190.85,$234.75,0.66,68.9,3.0,71.9,뉴스 모멘텀 긍정,관망 우위,관심 유지,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"1,880,000원",+11.51%,,,,,,,,보유,SK하이닉스,000660.KS,97.7,강세,거래량 증가,"996,000원","1,949,000원","976,080원","2,030,400원",0.17,66.7,3.0,69.7,뉴스 모멘텀 긍정,비중 축소 우선,관심 유지,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"91,300원",-4.30%,,,,,,,,관심,DL이앤씨,375500.KS,42.6,약세,거래량 감소,"88,600원","106,600원","85,822원","109,798원",3.38,65.3,0.0,65.3,뉴스 부족으로 판단 보류,눌림목 매수 가능,제외,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"285,500원",+6.33%,,,,,,,,관심,삼성전자,005930.KS,82.3,강세,거래량 증가,"198,200원","288,500원","194,236원","308,340원",0.25,64.9,3.0,67.9,뉴스 모멘텀 긍정,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$426.45,-4.17%,,,,,,,,관심,TSLA,TSLA,66.0,강세,거래량 감소,$362.50,$449.16,$355.25,$462.63,0.51,61.7,-5.0,56.7,뉴스 리스크 주의,관망 우위,제외,변동성 주의,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$434.03,-5.40%,,,,,,,,관심,AMD,AMD,72.3,강세,거래량 감소,$251.85,$469.22,$246.81,$483.30,0.26,60.9,3.0,63.9,뉴스 모멘텀 긍정,관망 우위,제외,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$294.38,+0.58%,,,,,,,,관심,AAPL,AAPL,75.3,강세,거래량 감소,$257.81,$294.90,$252.65,$317.93,0.56,60.9,0.0,60.9,뉴스 영향 중립,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,$264.67,-1.61%,,,,,,,,관심,AMZN,AMZN,61.1,약세,거래량 감소,$244.20,$278.56,$239.32,$286.92,0.88,58.2,3.0,61.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
