date,createdAt,market,agentId,agentLabel,generation,state,seed,cash,valuation,portfolioValue,totalPnl,totalReturnPct,survivalPct,positionCount,tradeCount,buyCount,sellCount,proofStatus
2026-08-25,2026-08-25T08:43:31,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-25,2026-08-25T22:05:40,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,334.33,4994.12,-5.88,-0.12,99.88,2,2,0,0,RUNNING
2026-08-25,2026-08-25T22:55:11,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,334.33,4994.12,-5.88,-0.12,99.88,2,2,0,0,RUNNING
2026-08-25,2026-08-25T23:05:41,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,334.33,4994.12,-5.88,-0.12,99.88,2,2,0,0,RUNNING
2026-08-26,2026-08-26T08:35:39,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-26,2026-08-26T08:46:33,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-26,2026-08-26T22:05:43,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,338.37,4998.16,-1.84,-0.04,99.96,2,2,0,0,RUNNING
2026-08-26,2026-08-26T22:57:57,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,338.37,4998.16,-1.84,-0.04,99.96,2,2,0,0,RUNNING
2026-08-26,2026-08-26T23:05:41,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,338.37,4998.16,-1.84,-0.04,99.96,2,2,0,0,RUNNING
2026-08-27,2026-08-27T08:35:41,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-27,2026-08-27T22:05:44,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.12,4996.91,-3.09,-0.06,99.94,2,2,0,0,RUNNING
2026-08-27,2026-08-27T23:05:40,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.12,4996.91,-3.09,-0.06,99.94,2,2,0,0,RUNNING
2026-08-28,2026-08-28T08:32:42,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-28,2026-08-28T08:35:36,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-28,2026-08-28T22:05:36,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,341.79,5001.58,1.58,0.03,100.03,2,2,0,0,RUNNING
2026-08-28,2026-08-28T23:05:39,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,341.79,5001.58,1.58,0.03,100.03,2,2,0,0,RUNNING
2026-08-31,2026-08-31T08:35:38,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-31,2026-08-31T22:05:47,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4429.58,566.52,4996.1,-3.9,-0.08,99.92,3,3,1,0,RUNNING
2026-08-31,2026-08-31T23:05:48,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4429.58,566.52,4996.1,-3.9,-0.08,99.92,3,3,0,0,RUNNING
2026-09-01,2026-09-01T08:35:41,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-09-01,2026-09-01T22:05:40,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4429.58,575.97,5005.55,5.55,0.11,100.11,3,3,0,0,RUNNING
2026-09-01,2026-09-01T23:05:42,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4429.58,575.72,5005.3,5.3,0.11,100.11,3,3,0,0,RUNNING
