symbol,name,name_kr,sector,source,note
000850.KS,화천기공,화천기공,Machinery/Equipment,전체종목마스터,코스피 후보군
000860.KS,강남제비스코,강남제비스코,Construction,전체종목마스터,코스피 후보군
000880.KS,한화,한화,Holding,전체종목마스터,코스피 후보군
000890.KS,보해양조,보해양조,Shipbuilding,전체종목마스터,코스피 후보군
000990.KS,DB하이텍,DB하이텍,Semiconductor,전체종목마스터,코스피 후보군
001020.KS,페이퍼코리아,페이퍼코리아,Internet/Platform,전체종목마스터,코스피 후보군
001040.KS,CJ,CJ,Food/Beverage,전체종목마스터,코스피 후보군
001060.KS,JW중외제약,JW중외제약,Bio/Healthcare,전체종목마스터,코스피 후보군
001070.KS,대한방직,대한방직,Textile/Apparel,전체종목마스터,코스피 후보군
001120.KS,LX인터내셔널,LX인터내셔널,Steel/Metal,전체종목마스터,코스피 후보군
001130.KS,대한제분,대한제분,Food/Beverage,전체종목마스터,코스피 후보군
001200.KS,유진투자증권,유진투자증권,Securities,전체종목마스터,코스피 후보군
001210.KS,금호전기,금호전기,Power/Utility,전체종목마스터,코스피 후보군
001230.KS,동국홀딩스,동국홀딩스,Holding,전체종목마스터,코스피 후보군
001250.KS,GS글로벌,GS글로벌,Oil/Chemical,전체종목마스터,코스피 후보군
001260.KS,남광토건,남광토건,Construction,전체종목마스터,코스피 후보군
001270.KS,부국증권,부국증권,Securities,전체종목마스터,코스피 후보군
001290.KS,상상인증권,상상인증권,Securities,전체종목마스터,코스피 후보군
001360.KS,삼성제약,삼성제약,Bio/Healthcare,전체종목마스터,코스피 후보군
001390.KS,KG케미칼,KG케미칼,Oil/Chemical,전체종목마스터,코스피 후보군
001420.KS,태원물산,태원물산,Oil/Chemical,전체종목마스터,코스피 후보군
001430.KS,세아베스틸지주,세아베스틸지주,Holding,전체종목마스터,코스피 후보군
001440.KS,대한전선,대한전선,Power/Utility,전체종목마스터,코스피 후보군
001450.KS,현대해상,현대해상,Insurance,전체종목마스터,코스피 후보군
001470.KS,삼부토건,삼부토건,Construction,전체종목마스터,코스피 후보군
001500.KS,현대차증권,현대차증권,Auto,전체종목마스터,코스피 후보군
001510.KS,SK증권,SK증권,Securities,전체종목마스터,코스피 후보군
001520.KS,동양,동양,Holding,전체종목마스터,코스피 후보군
001550.KS,조비,조비,Food/Beverage,전체종목마스터,코스피 후보군
001570.KS,금양,금양,Materials/Parts,전체종목마스터,코스피 후보군
001630.KS,종근당홀딩스,종근당홀딩스,Holding,전체종목마스터,코스피 후보군
001680.KS,대상,대상,Food/Beverage,전체종목마스터,코스피 후보군
001720.KS,신영증권,신영증권,Securities,전체종목마스터,코스피 후보군
001750.KS,한양증권,한양증권,Securities,전체종목마스터,코스피 후보군
001780.KS,알루코,알루코,Materials/Parts,전체종목마스터,코스피 후보군
001790.KS,대한제당,대한제당,Food/Beverage,전체종목마스터,코스피 후보군
001800.KS,오리온홀딩스,오리온홀딩스,Food/Beverage,전체종목마스터,코스피 후보군
001820.KS,삼화콘덴서,삼화콘덴서,Renewable/Energy,전체종목마스터,코스피 후보군
001940.KS,KISCO홀딩스,KISCO홀딩스,Semiconductor,전체종목마스터,코스피 후보군
002020.KS,코오롱,코오롱,Holding,전체종목마스터,코스피 후보군
002030.KS,아세아,아세아,Construction,전체종목마스터,코스피 후보군
002100.KS,경농,경농,Food/Beverage,전체종목마스터,코스피 후보군
002140.KS,고려산업,고려산업,Machinery/Equipment,전체종목마스터,코스피 후보군
002150.KS,도화엔지니어링,도화엔지니어링,Construction,전체종목마스터,코스피 후보군
002200.KS,한국수출포장,한국수출포장,Paper/Wood,전체종목마스터,코스피 후보군
002210.KS,동성제약,동성제약,Bio/Healthcare,전체종목마스터,코스피 후보군
002220.KS,한일철강,한일철강,Steel/Metal,전체종목마스터,코스피 후보군
002310.KS,아세아제지,아세아제지,Paper/Wood,전체종목마스터,코스피 후보군
002320.KS,한진,한진,Shipping/Logistics,전체종목마스터,코스피 후보군
002350.KS,넥센타이어,넥센타이어,Auto,전체종목마스터,코스피 후보군
002360.KS,SH에너지화학,SH에너지화학,Oil/Chemical,전체종목마스터,코스피 후보군
002380.KS,KCC,KCC,Construction,전체종목마스터,코스피 후보군
002390.KS,한독,한독,AI/Software,전체종목마스터,코스피 후보군
002410.KS,범양건영,범양건영,Construction,전체종목마스터,코스피 후보군
002420.KS,세기상사,세기상사,Entertainment/Media,전체종목마스터,코스피 후보군
002460.KS,HS화성,HS화성,Construction,전체종목마스터,코스피 후보군
002600.KS,조흥,조흥,Food/Beverage,전체종목마스터,코스피 후보군
002620.KS,제일파마홀딩스,제일파마홀딩스,Holding,전체종목마스터,코스피 후보군
002630.KS,오리엔트바이오,오리엔트바이오,Bio/Healthcare,전체종목마스터,코스피 후보군
002700.KS,신일전자,신일전자,Materials/Parts,전체종목마스터,코스피 후보군
002710.KS,TCC스틸,TCC스틸,Materials/Parts,전체종목마스터,코스피 후보군
002720.KS,국제약품,국제약품,Bio/Healthcare,전체종목마스터,코스피 후보군
002760.KS,보락,보락,AI/Software,전체종목마스터,코스피 후보군
002780.KS,진흥기업,진흥기업,Construction,전체종목마스터,코스피 후보군
002790.KS,아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,Cosmetics,전체종목마스터,코스피 후보군
002820.KS,SUN&L,SUN&L,Construction,전체종목마스터,코스피 후보군
002870.KS,신풍,신풍,Paper/Wood,전체종목마스터,코스피 후보군
002900.KS,TYM,TYM,Machinery/Equipment,전체종목마스터,코스피 후보군
002960.KS,한국쉘석유,한국쉘석유,Oil/Chemical,전체종목마스터,코스피 후보군
002990.KS,금호건설,금호건설,Construction,전체종목마스터,코스피 후보군
003000.KS,부광약품,부광약품,Bio/Healthcare,전체종목마스터,코스피 후보군
003030.KS,세아제강지주,세아제강지주,Holding,전체종목마스터,코스피 후보군
003060.KS,에이프로젠바이오로직스,에이프로젠바이오로직스,Bio/Healthcare,전체종목마스터,코스피 후보군
003070.KS,코오롱글로벌,코오롱글로벌,Construction,전체종목마스터,코스피 후보군
003080.KS,SB성보,SB성보,Food/Beverage,전체종목마스터,코스피 후보군
003090.KS,대웅,대웅,Bio/Healthcare,전체종목마스터,코스피 후보군
003120.KS,일성아이에스,일성아이에스,AI/Software,전체종목마스터,코스피 후보군
003160.KS,디아이,디아이,Semiconductor,전체종목마스터,코스피 후보군
003200.KS,일신방직,일신방직,Textile/Apparel,전체종목마스터,코스피 후보군
003220.KS,대원제약,대원제약,Bio/Healthcare,전체종목마스터,코스피 후보군
003230.KS,삼양식품,삼양식품,Food/Beverage,전체종목마스터,코스피 후보군
003240.KS,태광산업,태광산업,Machinery/Equipment,전체종목마스터,코스피 후보군
003280.KS,흥아해운,흥아해운,Shipping/Logistics,전체종목마스터,코스피 후보군
003300.KS,한일홀딩스,한일홀딩스,Holding,전체종목마스터,코스피 후보군
003350.KS,한국화장품제조,한국화장품제조,Cosmetics,전체종목마스터,코스피 후보군
003460.KS,유화증권,유화증권,Securities,전체종목마스터,코스피 후보군
003470.KS,유안타증권,유안타증권,Securities,전체종목마스터,코스피 후보군
003480.KS,한진중공업홀딩스,한진중공업홀딩스,Shipbuilding,전체종목마스터,코스피 후보군
003490.KS,대한항공,대한항공,Defense/Aerospace,전체종목마스터,코스피 후보군
003520.KS,영진약품,영진약품,Bio/Healthcare,전체종목마스터,코스피 후보군
003530.KS,한화투자증권,한화투자증권,Securities,전체종목마스터,코스피 후보군
003540.KS,대신증권,대신증권,Securities,전체종목마스터,코스피 후보군
003550.KS,LG,LG,Holding,전체종목마스터,코스피 후보군
003580.KS,HLB글로벌,HLB글로벌,Construction,전체종목마스터,코스피 후보군
003650.KS,미창석유,미창석유,Oil/Chemical,전체종목마스터,코스피 후보군
003670.KS,포스코퓨처엠,포스코퓨처엠,Battery/EV,전체종목마스터,코스피 후보군
003680.KS,한성기업,한성기업,AI/Software,전체종목마스터,코스피 후보군
003690.KS,코리안리,코리안리,Insurance,전체종목마스터,코스피 후보군
003780.KS,진양산업,진양산업,Machinery/Equipment,전체종목마스터,코스피 후보군
003850.KS,보령,보령,AI/Software,전체종목마스터,코스피 후보군
003960.KS,사조대림,사조대림,AI/Software,전체종목마스터,코스피 후보군
004000.KS,롯데정밀화학,롯데정밀화학,Oil/Chemical,전체종목마스터,코스피 후보군
004020.KS,현대제철,현대제철,Steel/Metal,전체종목마스터,코스피 후보군
004090.KS,한국석유,한국석유,Oil/Chemical,전체종목마스터,코스피 후보군
004100.KS,태양금속,태양금속,Steel/Metal,전체종목마스터,코스피 후보군
004140.KS,동방,동방,Shipping/Logistics,전체종목마스터,코스피 후보군
004150.KS,한솔홀딩스,한솔홀딩스,Holding,전체종목마스터,코스피 후보군
004170.KS,신세계,신세계,Retail,전체종목마스터,코스피 후보군
004310.KS,현대약품,현대약품,Bio/Healthcare,전체종목마스터,코스피 후보군
004370.KS,농심,농심,Food/Beverage,전체종목마스터,코스피 후보군
004380.KS,삼익THK,삼익THK,Machinery/Equipment,전체종목마스터,코스피 후보군
004410.KS,서울식품,서울식품,Food/Beverage,전체종목마스터,코스피 후보군
004430.KS,송원산업,송원산업,Machinery/Equipment,전체종목마스터,코스피 후보군
004490.KS,세방전지,세방전지,Battery/EV,전체종목마스터,코스피 후보군
004540.KS,깨끗한나라,깨끗한나라,Paper/Wood,전체종목마스터,코스피 후보군
004710.KS,한솔테크닉스,한솔테크닉스,Machinery/Equipment,전체종목마스터,코스피 후보군
004720.KS,팜젠사이언스,팜젠사이언스,Bio/Healthcare,전체종목마스터,코스피 후보군
004770.KS,써니전자,써니전자,Materials/Parts,전체종목마스터,코스피 후보군
004870.KS,티웨이홀딩스,티웨이홀딩스,Airline,전체종목마스터,코스피 후보군
004890.KS,동일산업,동일산업,Machinery/Equipment,전체종목마스터,코스피 후보군
004920.KS,씨아이테크,씨아이테크,Machinery/Equipment,전체종목마스터,코스피 후보군
004970.KS,신라교역,신라교역,AI/Software,전체종목마스터,코스피 후보군
004980.KS,성신양회,성신양회,Construction,전체종목마스터,코스피 후보군
004990.KS,롯데지주,롯데지주,Holding,전체종목마스터,코스피 후보군
005070.KS,코스모신소재,코스모신소재,Materials/Parts,전체종목마스터,코스피 후보군
005090.KS,SGC에너지,SGC에너지,Renewable/Energy,전체종목마스터,코스피 후보군
005250.KS,녹십자홀딩스,녹십자홀딩스,Holding,전체종목마스터,코스피 후보군
005300.KS,롯데칠성,롯데칠성,Food/Beverage,전체종목마스터,코스피 후보군
005380.KS,현대차,현대차,Auto,전체종목마스터,코스피 후보군
005420.KS,코스모화학,코스모화학,Oil/Chemical,전체종목마스터,코스피 후보군
005430.KS,한국공항,한국공항,Airline,전체종목마스터,코스피 후보군
005440.KS,현대지에프홀딩스,현대지에프홀딩스,Holding,전체종목마스터,코스피 후보군
005490.KS,POSCO홀딩스,POSCO홀딩스,Steel/Metal,전체종목마스터,코스피 후보군
005500.KS,삼진제약,삼진제약,Bio/Healthcare,전체종목마스터,코스피 후보군
005610.KS,삼립,삼립,Food/Beverage,전체종목마스터,코스피 후보군
005680.KS,삼영전자,삼영전자,Materials/Parts,전체종목마스터,코스피 후보군
005690.KS,파미셀,파미셀,Bio/Healthcare,전체종목마스터,코스피 후보군
005740.KS,크라운해태홀딩스,크라운해태홀딩스,Holding,전체종목마스터,코스피 후보군
005750.KS,대림바스,대림바스,Construction,전체종목마스터,코스피 후보군
005810.KS,풍산홀딩스,풍산홀딩스,Defense/Aerospace,전체종목마스터,코스피 후보군
005830.KS,DB손해보험,DB손해보험,Insurance,전체종목마스터,코스피 후보군
005870.KS,휴니드,휴니드,Defense/Aerospace,전체종목마스터,코스피 후보군
005880.KS,대한해운,대한해운,Shipping/Logistics,전체종목마스터,코스피 후보군
005930.KS,삼성전자,삼성전자,Semiconductor,전체종목마스터,코스피 후보군
005940.KS,NH투자증권,NH투자증권,Securities,전체종목마스터,코스피 후보군
005950.KS,이수화학,이수화학,Oil/Chemical,전체종목마스터,코스피 후보군
005960.KS,동부건설,동부건설,Construction,전체종목마스터,코스피 후보군
006040.KS,동원산업,동원산업,Machinery/Equipment,전체종목마스터,코스피 후보군
006060.KS,화승인더,화승인더,Textile/Apparel,전체종목마스터,코스피 후보군
006090.KS,사조오양,사조오양,AI/Software,전체종목마스터,코스피 후보군
006110.KS,삼아알미늄,삼아알미늄,Materials/Parts,전체종목마스터,코스피 후보군
006120.KS,SK디스커버리,SK디스커버리,AI/Software,전체종목마스터,코스피 후보군
006200.KS,한국전자홀딩스,한국전자홀딩스,Materials/Parts,전체종목마스터,코스피 후보군
006220.KS,제주은행,제주은행,Bank/Finance,전체종목마스터,코스피 후보군
006260.KS,LS,LS,Telecom,전체종목마스터,코스피 후보군
006280.KS,녹십자,녹십자,AI/Software,전체종목마스터,코스피 후보군
006340.KS,대원전선,대원전선,Power/Utility,전체종목마스터,코스피 후보군
006360.KS,GS건설,GS건설,Construction,전체종목마스터,코스피 후보군
006370.KS,대구백화점,대구백화점,Retail,전체종목마스터,코스피 후보군
006380.KS,카프로,카프로,Food/Beverage,전체종목마스터,코스피 후보군
006400.KS,삼성SDI,삼성SDI,Battery/EV,전체종목마스터,코스피 후보군
006570.KS,대림통상,대림통상,Construction,전체종목마스터,코스피 후보군
006650.KS,대한유화,대한유화,Materials/Parts,전체종목마스터,코스피 후보군
006740.KS,블루산업개발,블루산업개발,Construction,전체종목마스터,코스피 후보군
006800.KS,미래에셋증권,미래에셋증권,Securities,전체종목마스터,코스피 후보군
006840.KS,AK홀딩스,AK홀딩스,Holding,전체종목마스터,코스피 후보군
006880.KS,신송홀딩스,신송홀딩스,Holding,전체종목마스터,코스피 후보군
006890.KS,태경케미컬,태경케미컬,Oil/Chemical,전체종목마스터,코스피 후보군
006980.KS,우성,우성,Food/Beverage,전체종목마스터,코스피 후보군
007070.KS,GS리테일,GS리테일,Oil/Chemical,전체종목마스터,코스피 후보군
007110.KS,일신석재,일신석재,Construction,전체종목마스터,코스피 후보군
007160.KS,사조산업,사조산업,Machinery/Equipment,전체종목마스터,코스피 후보군
007210.KS,벽산,벽산,Construction,전체종목마스터,코스피 후보군
007310.KS,오뚜기,오뚜기,Food/Beverage,전체종목마스터,코스피 후보군
007340.KS,DN오토모티브,DN오토모티브,Auto,전체종목마스터,코스피 후보군
007540.KS,샘표,샘표,Food/Beverage,전체종목마스터,코스피 후보군
007570.KS,일양약품,일양약품,Bio/Healthcare,전체종목마스터,코스피 후보군
007590.KS,동방아그로,동방아그로,Food/Beverage,전체종목마스터,코스피 후보군
007610.KS,선도전기,선도전기,Power/Utility,전체종목마스터,코스피 후보군
007660.KS,이수페타시스,이수페타시스,Telecom,전체종목마스터,코스피 후보군
007690.KS,국도화학,국도화학,Oil/Chemical,전체종목마스터,코스피 후보군
007700.KS,F&F홀딩스,F&F홀딩스,Textile/Apparel,전체종목마스터,코스피 후보군
008040.KS,사조동아원,사조동아원,Food/Beverage,전체종목마스터,코스피 후보군
008060.KS,대덕,대덕,Semiconductor,전체종목마스터,코스피 후보군
008250.KS,이건산업,이건산업,Machinery/Equipment,전체종목마스터,코스피 후보군
008420.KS,문배철강,문배철강,Steel/Metal,전체종목마스터,코스피 후보군
008490.KS,서흥,서흥,Food/Beverage,전체종목마스터,코스피 후보군
008600.KS,윌비스,윌비스,Education,전체종목마스터,코스피 후보군
008700.KS,아남전자,아남전자,Materials/Parts,전체종목마스터,코스피 후보군
008730.KS,율촌화학,율촌화학,Oil/Chemical,전체종목마스터,코스피 후보군
008770.KS,호텔신라,호텔신라,Leisure/Travel,전체종목마스터,코스피 후보군
008930.KS,한미사이언스,한미사이언스,Bio/Healthcare,전체종목마스터,코스피 후보군
009140.KS,경인전자,경인전자,Materials/Parts,전체종목마스터,코스피 후보군
009150.KS,삼성전기,삼성전기,Power/Utility,전체종목마스터,코스피 후보군
009160.KS,SIMPAC,SIMPAC,Machinery/Equipment,전체종목마스터,코스피 후보군
009190.KS,대양금속,대양금속,Steel/Metal,전체종목마스터,코스피 후보군
009200.KS,무림페이퍼,무림페이퍼,Paper/Wood,전체종목마스터,코스피 후보군
009240.KS,한샘,한샘,Construction,전체종목마스터,코스피 후보군
009290.KS,광동제약,광동제약,Bio/Healthcare,전체종목마스터,코스피 후보군
009310.KS,참엔지니어링,참엔지니어링,Construction,전체종목마스터,코스피 후보군
009320.KS,아진전자부품,아진전자부품,Materials/Parts,전체종목마스터,코스피 후보군
009410.KS,태영건설,태영건설,Construction,전체종목마스터,코스피 후보군
009420.KS,한올바이오파마,한올바이오파마,Bio/Healthcare,전체종목마스터,코스피 후보군
009440.KS,KC그린홀딩스,KC그린홀딩스,Holding,전체종목마스터,코스피 후보군
009460.KS,한창제지,한창제지,Paper/Wood,전체종목마스터,코스피 후보군
009470.KS,삼화전기,삼화전기,Power/Utility,전체종목마스터,코스피 후보군
009540.KS,HD한국조선해양,HD한국조선해양,Shipbuilding,전체종목마스터,코스피 후보군
009580.KS,무림P&P,무림P&P,Paper/Wood,전체종목마스터,코스피 후보군
009770.KS,삼정펄프,삼정펄프,Paper/Wood,전체종목마스터,코스피 후보군
009830.KS,한화솔루션,한화솔루션,Oil/Chemical,전체종목마스터,코스피 후보군
009900.KS,명신산업,명신산업,Machinery/Equipment,전체종목마스터,코스피 후보군
009970.KS,영원무역홀딩스,영원무역홀딩스,Textile/Apparel,전체종목마스터,코스피 후보군
010060.KS,OCI홀딩스,OCI홀딩스,Renewable/Energy,전체종목마스터,코스피 후보군
010120.KS,LS ELECTRIC,LS ELECTRIC,Power/Utility,전체종목마스터,코스피 후보군
010130.KS,고려아연,고려아연,Steel/Metal,전체종목마스터,코스피 후보군
010140.KS,삼성중공업,삼성중공업,Shipbuilding,전체종목마스터,코스피 후보군
010400.KS,우진아이엔에스,우진아이엔에스,Nuclear,전체종목마스터,코스피 후보군
010580.KS,에스엠벡셀,에스엠벡셀,Entertainment/Media,전체종목마스터,코스피 후보군
010660.KS,화천기계,화천기계,Machinery/Equipment,전체종목마스터,코스피 후보군
010690.KS,화신,화신,Auto,전체종목마스터,코스피 후보군
010770.KS,평화홀딩스,평화홀딩스,Holding,전체종목마스터,코스피 후보군
010780.KS,아이에스동서,아이에스동서,Construction,전체종목마스터,코스피 후보군
010950.KS,S-Oil,S-Oil,Oil/Chemical,전체종목마스터,코스피 후보군
010960.KS,삼호개발,삼호개발,Construction,전체종목마스터,코스피 후보군
011000.KS,진원생명과학,진원생명과학,Insurance,전체종목마스터,코스피 후보군
011070.KS,LG이노텍,LG이노텍,Telecom,전체종목마스터,코스피 후보군
011090.KS,에넥스,에넥스,Construction,전체종목마스터,코스피 후보군
011170.KS,롯데케미칼,롯데케미칼,Oil/Chemical,전체종목마스터,코스피 후보군
011200.KS,HMM,HMM,Shipping/Logistics,전체종목마스터,코스피 후보군
011210.KS,현대위아,현대위아,Defense/Aerospace,전체종목마스터,코스피 후보군
011230.KS,삼화전자,삼화전자,Materials/Parts,전체종목마스터,코스피 후보군
011280.KS,태림포장,태림포장,Paper/Wood,전체종목마스터,코스피 후보군
011390.KS,부산산업,부산산업,Machinery/Equipment,전체종목마스터,코스피 후보군
011420.KS,갤럭시아에스엠,갤럭시아에스엠,Entertainment/Media,전체종목마스터,코스피 후보군
011500.KS,한농화성,한농화성,Materials/Parts,전체종목마스터,코스피 후보군
011700.KS,한신기계,한신기계,Machinery/Equipment,전체종목마스터,코스피 후보군
011780.KS,금호석유화학,금호석유화학,Oil/Chemical,전체종목마스터,코스피 후보군
011790.KS,SKC,SKC,Materials/Parts,전체종목마스터,코스피 후보군
011810.KS,STX,STX,Holding,전체종목마스터,코스피 후보군
011930.KS,신성이엔지,신성이엔지,Semiconductor,전체종목마스터,코스피 후보군
012200.KS,계양전기,계양전기,Power/Utility,전체종목마스터,코스피 후보군
012280.KS,영화금속,영화금속,Steel/Metal,전체종목마스터,코스피 후보군
012330.KS,현대모비스,현대모비스,Auto,전체종목마스터,코스피 후보군
012450.KS,한화에어로스페이스,한화에어로스페이스,Defense/Aerospace,전체종목마스터,코스피 후보군
012510.KS,더존비즈온,더존비즈온,AI/Software,전체종목마스터,코스피 후보군
012630.KS,HDC,HDC,Construction,전체종목마스터,코스피 후보군
012690.KS,모나리자,모나리자,Paper/Wood,전체종목마스터,코스피 후보군
012800.KS,대창,대창,Steel/Metal,전체종목마스터,코스피 후보군
013360.KS,일성건설,일성건설,Construction,전체종목마스터,코스피 후보군
013520.KS,화승코퍼레이션,화승코퍼레이션,Textile/Apparel,전체종목마스터,코스피 후보군
013580.KS,계룡건설,계룡건설,Construction,전체종목마스터,코스피 후보군
013700.KS,까뮤이앤씨,까뮤이앤씨,Construction,전체종목마스터,코스피 후보군
013870.KS,지엠비코리아,지엠비코리아,Oil/Chemical,전체종목마스터,코스피 후보군
014130.KS,한익스프레스,한익스프레스,Retail,전체종목마스터,코스피 후보군
014280.KS,금강공업,금강공업,Machinery/Equipment,전체종목마스터,코스피 후보군
014440.KS,영보화학,영보화학,Oil/Chemical,전체종목마스터,코스피 후보군
014580.KS,태경비케이,태경비케이,AI/Software,전체종목마스터,코스피 후보군
014680.KS,한솔케미칼,한솔케미칼,Oil/Chemical,전체종목마스터,코스피 후보군
014790.KS,HL D&I,HL D&I,Construction,전체종목마스터,코스피 후보군
014820.KS,동원시스템즈,동원시스템즈,Materials/Parts,전체종목마스터,코스피 후보군
014830.KS,유니드,유니드,Construction,전체종목마스터,코스피 후보군
014910.KS,성문전자,성문전자,Materials/Parts,전체종목마스터,코스피 후보군
015020.KS,이스타코,이스타코,Education,전체종목마스터,코스피 후보군
015590.KS,DKME,DKME,Machinery/Equipment,전체종목마스터,코스피 후보군
015760.KS,한국전력,한국전력,Power/Utility,전체종목마스터,코스피 후보군
015860.KS,일진홀딩스,일진홀딩스,Holding,전체종목마스터,코스피 후보군
015890.KS,태경산업,태경산업,Machinery/Equipment,전체종목마스터,코스피 후보군
016360.KS,삼성증권,삼성증권,Securities,전체종목마스터,코스피 후보군
016450.KS,한세예스24홀딩스,한세예스24홀딩스,Textile/Apparel,전체종목마스터,코스피 후보군
016580.KS,환인제약,환인제약,Bio/Healthcare,전체종목마스터,코스피 후보군
016590.KS,신대양제지,신대양제지,Paper/Wood,전체종목마스터,코스피 후보군
016610.KS,DB증권,DB증권,Securities,전체종목마스터,코스피 후보군
016710.KS,대성홀딩스,대성홀딩스,Holding,전체종목마스터,코스피 후보군
016800.KS,퍼시스,퍼시스,Construction,전체종목마스터,코스피 후보군
016880.KS,웅진,웅진,Education,전체종목마스터,코스피 후보군
017040.KS,광명전기,광명전기,Power/Utility,전체종목마스터,코스피 후보군
017180.KS,명문제약,명문제약,Bio/Healthcare,전체종목마스터,코스피 후보군
017370.KS,우신시스템,우신시스템,Machinery/Equipment,전체종목마스터,코스피 후보군
017670.KS,SK텔레콤,SK텔레콤,Telecom,전체종목마스터,코스피 후보군
017800.KS,현대엘리베이터,현대엘리베이터,Machinery/Equipment,전체종목마스터,코스피 후보군
017810.KS,풀무원,풀무원,Food/Beverage,전체종목마스터,코스피 후보군
017900.KS,광전자,광전자,Materials/Parts,전체종목마스터,코스피 후보군
018250.KS,애경산업,애경산업,Machinery/Equipment,전체종목마스터,코스피 후보군
018500.KS,동원금속,동원금속,Steel/Metal,전체종목마스터,코스피 후보군
018880.KS,한온시스템,한온시스템,Battery/EV,전체종목마스터,코스피 후보군
019170.KS,신풍제약,신풍제약,Bio/Healthcare,전체종목마스터,코스피 후보군
019490.KS,엑시큐어하이트론,엑시큐어하이트론,Food/Beverage,전체종목마스터,코스피 후보군
019680.KS,대교,대교,Education,전체종목마스터,코스피 후보군
020120.KS,키다리스튜디오,키다리스튜디오,Entertainment/Media,전체종목마스터,코스피 후보군
020150.KS,롯데에너지머티리얼즈,롯데에너지머티리얼즈,Renewable/Energy,전체종목마스터,코스피 후보군
020560.KS,아시아나항공,아시아나항공,Defense/Aerospace,전체종목마스터,코스피 후보군
021050.KS,서원,서원,Steel/Metal,전체종목마스터,코스피 후보군
022100.KS,포스코DX,포스코DX,Steel/Metal,전체종목마스터,코스피 후보군
023350.KS,한국종합기술,한국종합기술,Machinery/Equipment,전체종목마스터,코스피 후보군
023530.KS,롯데쇼핑,롯데쇼핑,Retail,전체종목마스터,코스피 후보군
023590.KS,다우기술,다우기술,Machinery/Equipment,전체종목마스터,코스피 후보군
023800.KS,인지컨트롤스,인지컨트롤스,Battery/EV,전체종목마스터,코스피 후보군
023960.KS,에쓰씨엔지니어링,에쓰씨엔지니어링,Construction,전체종목마스터,코스피 후보군
024070.KS,WISCOM,WISCOM,Semiconductor,전체종목마스터,코스피 후보군
024110.KS,기업은행,기업은행,Bank/Finance,전체종목마스터,코스피 후보군
024720.KS,콜마홀딩스,콜마홀딩스,Cosmetics,전체종목마스터,코스피 후보군
025000.KS,KPX케미칼,KPX케미칼,Oil/Chemical,전체종목마스터,코스피 후보군
025530.KS,SJM홀딩스,SJM홀딩스,Holding,전체종목마스터,코스피 후보군
025560.KS,미래산업,미래산업,Machinery/Equipment,전체종목마스터,코스피 후보군
025620.KS,차AI헬스케어,차AI헬스케어,Bio/Healthcare,전체종목마스터,코스피 후보군
