market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
미국주식,COIN,3,33.3333,1.3889,5.1503,33.3333,33.3333,33.3333,9.3985,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,CRCL,3,33.3333,1.6140,4.7747,66.6667,33.3333,0.0000,2.9691,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
미국주식,CRDO,3,33.3333,1.3363,4.9463,66.6667,0.0000,0.0000,-1.0394,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
미국주식,DDOG,3,0.0000,0.3830,3.1329,66.6667,0.0000,0.0000,3.4363,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,10
미국주식,DUOL,3,33.3333,0.5650,2.4330,33.3333,0.0000,0.0000,1.1355,익절 목표 과도,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,ETN,3,33.3333,0.8896,1.3693,66.6667,0.0000,0.0000,0.2060,익절 목표 과도,keep,keep,lower_tp1_target,10
미국주식,GE,3,33.3333,0.4239,1.4769,66.6667,33.3333,0.0000,0.5263,익절 목표 과도,keep,keep,lower_tp1_target,10
미국주식,GOOGL,3,33.3333,0.5695,2.1848,66.6667,0.0000,33.3333,0.1940,익절 목표 과도,keep,keep,lower_tp1_target,10
미국주식,HIMS,3,0.0000,1.9673,5.8737,33.3333,0.0000,0.0000,2.4553,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
미국주식,HOOD,3,33.3333,0.6492,3.9053,66.6667,0.0000,33.3333,3.2721,방향 예측 실패,increase_atr_range,keep,keep,10
미국주식,HUT,3,66.6667,0.9061,3.0665,33.3333,0.0000,0.0000,0.4415,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,0
미국주식,INTC,3,33.3333,2.2488,2.2801,33.3333,0.0000,0.0000,-0.5470,방향 예측 실패,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,IONQ,3,66.6667,1.3801,3.7513,66.6667,0.0000,0.0000,-0.3502,이벤트 변동성 미반영,increase_atr_range,keep,lower_tp1_target,0
미국주식,IREN,3,0.0000,1.4846,6.7943,33.3333,33.3333,33.3333,-1.8478,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,IWM,3,33.3333,1.2918,1.8002,33.3333,0.0000,0.0000,-0.7865,익절 목표 과도,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,JOBY,3,33.3333,1.1026,2.8756,66.6667,0.0000,33.3333,2.2328,방향 예측 실패,keep,keep,keep,10
미국주식,KTOS,3,33.3333,2.5974,2.6439,66.6667,33.3333,33.3333,-0.8268,방향 예측 실패,increase_atr_range,keep,keep,10
미국주식,LITE,3,33.3333,3.5771,3.1975,33.3333,0.0000,0.0000,0.1784,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
미국주식,LUNR,3,66.6667,4.3080,3.4775,66.6667,0.0000,33.3333,10.1319,예측 당시 주의사유 존재,increase_atr_range,keep,keep,5
미국주식,MDB,3,0.0000,0.7284,3.4813,66.6667,0.0000,0.0000,-0.2477,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,10
미국주식,META,3,66.6667,0.7382,1.6025,66.6667,0.0000,0.0000,1.4245,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,MRVL,3,66.6667,1.3305,2.1311,33.3333,0.0000,33.3333,2.0689,이벤트 변동성 미반영,increase_atr_range,move_entry_closer_to_tradeable_range,keep,0
미국주식,MSFT,3,0.0000,0.8502,2.5230,0.0000,0.0000,66.6667,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,keep,10
미국주식,MU,3,0.0000,3.4920,3.6618,66.6667,33.3333,0.0000,0.3082,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
미국주식,NBIS,3,66.6667,3.4649,4.0262,33.3333,0.0000,33.3333,0.7700,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,5
미국주식,NET,3,33.3333,2.0068,4.1885,33.3333,0.0000,33.3333,3.4035,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,NVDA,3,66.6667,0.4834,0.9755,33.3333,0.0000,0.0000,1.1918,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
미국주식,OKLO,3,66.6667,0.8860,3.7091,33.3333,0.0000,0.0000,0.6927,이벤트 변동성 미반영,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,0
미국주식,PLTR,3,33.3333,0.9825,2.6985,33.3333,33.3333,0.0000,-4.0624,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,QQQ,3,33.3333,1.1804,1.6446,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,QUBT,3,33.3333,1.7957,8.1023,100.0000,0.0000,33.3333,2.2111,방향 예측 실패,increase_atr_range,keep,keep,15
미국주식,RDDT,3,0.0000,1.3890,4.7633,33.3333,0.0000,66.6667,2.4153,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,RGTI,3,33.3333,1.8923,4.3128,66.6667,33.3333,33.3333,5.0703,방향 예측 실패,increase_atr_range,keep,keep,15
