ticker,market,total_cases,raw_direction_hit_rate,adjusted_direction_hit_rate,direction_hit_rate_change,raw_avg_open_error_pct,adjusted_avg_open_error_pct,open_error_improvement,raw_avg_close_error_pct,adjusted_avg_close_error_pct,close_error_improvement,raw_avg_pnl_pct,adjusted_avg_pnl_pct,pnl_improvement,stop_touch_rate,tp1_touch_rate,improvement_label,main_improvement_reason,recommended_action
006400,한국주식,9,55.5556,55.5556,0.0000,2.4424,2.2884,0.1539,3.1347,3.2645,-0.1298,-0.3164,-0.3164,0.0000,11.1111,33.3333,중립,변화 미미,보정 강화 필요
007660,한국주식,8,25.0000,25.0000,0.0000,2.1290,2.1177,0.0113,3.8861,3.8525,0.0336,1.5441,1.5441,0.0000,12.5000,37.5000,중립,변화 미미,보정 강화 필요
009150,한국주식,8,50.0000,50.0000,0.0000,2.0120,2.0126,-0.0007,5.5038,5.6040,-0.1002,1.2364,1.2364,0.0000,0.0000,25.0000,악화,보정 후 종가 오차 증가,보정 강화 필요
009540,한국주식,8,62.5000,62.5000,0.0000,0.9464,0.9590,-0.0126,3.7368,3.9256,-0.1888,0.2154,0.2154,0.0000,37.5000,12.5000,중립,변화 미미,보정 강화 필요
010120,한국주식,8,50.0000,50.0000,0.0000,3.0701,3.0468,0.0233,5.7593,5.9903,-0.2310,0.0000,0.0000,0.0000,25.0000,25.0000,중립,변화 미미,보정 강화 필요
010140,한국주식,9,22.2222,22.2222,0.0000,1.0693,1.0230,0.0463,3.3525,3.4871,-0.1346,-1.1051,-1.5299,-0.4247,11.1111,11.1111,중립,변화 미미,보정 약화 필요
011070,한국주식,8,62.5000,62.5000,0.0000,1.8978,1.8483,0.0496,4.7062,4.7551,-0.0489,0.0218,0.0218,0.0000,12.5000,25.0000,중립,변화 미미,보정 강화 필요
012330,한국주식,9,66.6667,66.6667,0.0000,3.1991,3.1189,0.0802,7.3166,7.2771,0.0396,0.0000,0.0000,0.0000,0.0000,22.2222,중립,변화 미미,보정 강화 필요
012450,한국주식,9,44.4444,33.3333,-11.1111,1.1892,1.1752,0.0139,2.8936,2.8390,0.0546,-0.5093,-0.3038,0.2055,22.2222,22.2222,중립,변화 미미,보정 유지
015760,한국주식,8,50.0000,50.0000,0.0000,1.7040,1.7297,-0.0257,4.5472,4.5994,-0.0522,0.0803,0.0803,0.0000,25.0000,25.0000,중립,변화 미미,보정 강화 필요
018260,한국주식,9,77.7778,77.7778,0.0000,1.3149,1.3238,-0.0089,3.5796,3.5778,0.0018,1.9178,1.9178,0.0000,11.1111,22.2222,중립,변화 미미,보정 강화 필요
034020,한국주식,9,33.3333,33.3333,0.0000,2.1088,2.0578,0.0510,4.2875,4.4062,-0.1187,0.2559,0.0000,-0.2559,11.1111,33.3333,중립,변화 미미,보정 약화 필요
035420,한국주식,9,77.7778,77.7778,0.0000,0.8161,0.7933,0.0228,3.1335,3.0959,0.0377,-0.1679,-0.1679,0.0000,11.1111,55.5556,중립,변화 미미,보정 강화 필요
035720,한국주식,9,88.8889,88.8889,0.0000,1.0696,1.0832,-0.0136,2.2102,2.2291,-0.0189,0.0491,0.0491,0.0000,22.2222,44.4444,중립,변화 미미,보정 강화 필요
036930,한국주식,8,50.0000,50.0000,0.0000,3.9009,3.8955,0.0054,10.3878,10.5634,-0.1755,-0.4102,-0.4102,0.0000,12.5000,50.0000,중립,변화 미미,보정 강화 필요
042660,한국주식,9,44.4444,44.4444,0.0000,1.0924,1.0647,0.0278,2.7237,2.9186,-0.1949,-0.7290,-0.4726,0.2564,11.1111,22.2222,중립,변화 미미,보정 유지
042700,한국주식,8,37.5000,37.5000,0.0000,3.9391,3.9166,0.0225,9.4892,9.4483,0.0409,0.0000,0.0000,0.0000,25.0000,12.5000,중립,변화 미미,보정 강화 필요
047810,한국주식,8,37.5000,37.5000,0.0000,1.5770,1.6212,-0.0442,3.3012,3.3490,-0.0478,0.4038,0.4038,0.0000,12.5000,25.0000,중립,변화 미미,보정 강화 필요
051910,한국주식,9,55.5556,55.5556,0.0000,1.5724,1.5209,0.0516,3.9189,3.8547,0.0642,-1.6589,-1.3004,0.3585,22.2222,22.2222,중립,변화 미미,보정 유지
055550,한국주식,9,33.3333,33.3333,0.0000,1.4700,1.5353,-0.0653,1.7982,1.9637,-0.1654,-0.1538,-0.2927,-0.1389,11.1111,33.3333,중립,변화 미미,보정 강화 필요
058470,한국주식,8,25.0000,25.0000,0.0000,2.2409,2.3049,-0.0641,6.4222,6.6769,-0.2547,-1.3574,-1.3574,0.0000,37.5000,12.5000,중립,변화 미미,보정 강화 필요
064350,한국주식,9,55.5556,55.5556,0.0000,1.2347,1.3058,-0.0711,2.5339,2.8689,-0.3350,-0.9368,-1.1264,-0.1896,11.1111,0.0000,중립,변화 미미,보정 강화 필요
066970,한국주식,9,44.4444,44.4444,0.0000,3.1556,2.9877,0.1679,3.5221,3.5953,-0.0732,-0.4117,-0.8295,-0.4178,11.1111,33.3333,중립,변화 미미,보정 약화 필요
067310,한국주식,8,37.5000,37.5000,0.0000,2.7743,2.7886,-0.0143,9.0358,8.9939,0.0419,0.0000,0.0000,0.0000,0.0000,37.5000,개선,변화 미미,보정 강화 필요
068270,한국주식,9,100.0000,100.0000,0.0000,1.1482,1.1943,-0.0462,1.3630,1.3911,-0.0281,0.1180,0.1180,0.0000,11.1111,22.2222,중립,변화 미미,보정 강화 필요
079550,한국주식,9,88.8889,88.8889,0.0000,1.4523,1.5192,-0.0668,2.3495,2.4918,-0.1423,-0.0373,-0.0373,0.0000,11.1111,44.4444,중립,변화 미미,보정 강화 필요
086520,한국주식,9,88.8889,88.8889,0.0000,2.4985,2.3988,0.0996,3.9312,4.0781,-0.1470,0.1733,0.1733,0.0000,11.1111,11.1111,중립,변화 미미,보정 강화 필요
086790,한국주식,9,33.3333,33.3333,0.0000,1.6108,1.7625,-0.1517,2.6401,2.7130,-0.0729,-0.3057,-0.2374,0.0683,11.1111,22.2222,중립,변화 미미,보정 강화 필요
090360,한국주식,9,55.5556,55.5556,0.0000,6.2716,6.3594,-0.0878,10.2377,10.4029,-0.1651,-0.4336,-0.4336,0.0000,22.2222,55.5556,중립,변화 미미,보정 강화 필요
095340,한국주식,8,37.5000,37.5000,0.0000,1.6160,1.6574,-0.0414,6.5411,6.6038,-0.0627,-1.5327,-1.5327,0.0000,25.0000,12.5000,중립,변화 미미,보정 강화 필요
103590,한국주식,7,42.8571,42.8571,0.0000,2.8054,2.8050,0.0003,8.1480,8.5183,-0.3703,0.0000,0.0000,0.0000,28.5714,14.2857,악화,보정 후 종가 오차 증가,보정 강화 필요
105560,한국주식,7,85.7143,85.7143,0.0000,1.3827,1.3478,0.0349,1.4308,1.4488,-0.0180,1.0699,1.0699,0.0000,14.2857,42.8571,기회 손실,시장 필터가 상승 기회를 과도하게 차단,보정 강화 필요
108490,한국주식,7,57.1429,57.1429,0.0000,2.2853,2.2460,0.0393,8.7298,8.6074,0.1224,-2.6219,-1.6306,0.9913,28.5714,14.2857,중립,변화 미미,보정 유지
131970,한국주식,5,80.0000,80.0000,0.0000,1.8639,1.8639,0.0000,3.4497,3.4497,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,중립,변화 미미,보정 강화 필요
138040,한국주식,7,57.1429,57.1429,0.0000,1.2162,1.2190,-0.0028,2.2640,2.3762,-0.1122,0.3178,0.3178,0.0000,14.2857,14.2857,악화,보정 후 종가 오차 증가,보정 강화 필요
196170,한국주식,7,71.4286,71.4286,0.0000,1.7185,1.4587,0.2598,2.6059,2.6040,0.0019,-1.0317,-0.5488,0.4829,28.5714,28.5714,중립,변화 미미,보정 유지
207940,한국주식,7,57.1429,57.1429,0.0000,1.4970,1.5601,-0.0631,2.3581,2.4872,-0.1291,0.1247,-0.0047,-0.1295,28.5714,42.8571,중립,변화 미미,보정 강화 필요
214150,한국주식,7,57.1429,57.1429,0.0000,1.6738,1.8654,-0.1916,4.1151,4.7659,-0.6508,-0.6220,0.0000,0.6220,28.5714,14.2857,중립,변화 미미,보정 유지
214450,한국주식,7,85.7143,85.7143,0.0000,1.3787,1.5336,-0.1549,3.2938,3.6095,-0.3157,0.2461,0.2461,0.0000,28.5714,42.8571,중립,변화 미미,보정 강화 필요
222800,한국주식,5,60.0000,60.0000,0.0000,3.2097,3.2097,0.0000,6.1209,6.1209,0.0000,-1.1806,-1.1806,0.0000,20.0000,40.0000,중립,변화 미미,보정 강화 필요
247540,한국주식,7,85.7143,85.7143,0.0000,1.7828,1.6136,0.1692,4.6472,5.0239,-0.3767,-0.6866,-0.4503,0.2363,14.2857,28.5714,중립,변화 미미,보정 유지
267260,한국주식,7,57.1429,57.1429,0.0000,2.4427,2.3508,0.0919,4.7806,5.5466,-0.7660,-0.5218,-0.5218,0.0000,28.5714,14.2857,중립,변화 미미,보정 강화 필요
272210,한국주식,7,57.1429,57.1429,0.0000,1.6253,1.7594,-0.1342,3.7283,4.2973,-0.5690,1.1073,1.1073,0.0000,14.2857,28.5714,중립,변화 미미,보정 강화 필요
277810,한국주식,7,57.1429,57.1429,0.0000,1.7031,1.6533,0.0498,8.8161,8.7219,0.0942,-0.0118,-0.0118,0.0000,14.2857,28.5714,중립,변화 미미,보정 강화 필요
298040,한국주식,7,57.1429,57.1429,0.0000,2.0544,2.0825,-0.0281,6.7381,7.4580,-0.7199,0.1864,0.1864,0.0000,14.2857,14.2857,악화,보정 후 종가 오차 증가,보정 강화 필요
329180,한국주식,7,42.8571,42.8571,0.0000,1.4936,1.5581,-0.0645,6.9994,7.7218,-0.7224,0.9536,0.0000,-0.9536,28.5714,42.8571,중립,변화 미미,보정 약화 필요
373220,한국주식,7,71.4286,71.4286,0.0000,1.9010,1.6889,0.2122,2.4993,2.4873,0.0121,-0.8474,-0.1253,0.7221,28.5714,28.5714,개선,변화 미미,보정 유지
375500,한국주식,7,85.7143,85.7143,0.0000,2.9403,2.8851,0.0552,3.4225,3.4957,-0.0732,-0.0617,0.0000,0.0617,14.2857,28.5714,중립,변화 미미,보정 강화 필요
402340,한국주식,7,42.8571,42.8571,0.0000,2.5561,2.5732,-0.0171,7.3429,7.5983,-0.2553,-0.2396,-0.2396,0.0000,0.0000,0.0000,악화,보정 후 종가 오차 증가,보정 강화 필요
403870,한국주식,7,28.5714,28.5714,0.0000,1.8861,1.9456,-0.0595,9.2811,10.0340,-0.7529,-0.2246,-0.2246,0.0000,14.2857,42.8571,기회 손실,시장 필터가 상승 기회를 과도하게 차단,보정 강화 필요
454910,한국주식,7,57.1429,57.1429,0.0000,3.0626,2.9596,0.1030,6.8909,7.4000,-0.5091,-0.6600,-0.6600,0.0000,0.0000,42.8571,중립,변화 미미,보정 강화 필요
AAPL,미국주식,6,33.3333,33.3333,0.0000,1.0307,1.0423,-0.0116,1.5592,1.5895,-0.0303,0.0885,0.0885,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
ACHR,미국주식,6,66.6667,66.6667,0.0000,1.2925,1.2578,0.0346,1.7160,1.7489,-0.0329,-0.2673,-0.2673,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
ALAB,미국주식,6,33.3333,33.3333,0.0000,0.5540,0.5788,-0.0248,7.1814,7.1325,0.0488,-0.7134,-0.7134,0.0000,16.6667,33.3333,중립,변화 미미,보정 강화 필요
AMD,미국주식,6,50.0000,50.0000,0.0000,1.3393,1.3521,-0.0128,2.4121,2.4789,-0.0668,0.0000,0.0000,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
AMZN,미국주식,6,50.0000,50.0000,0.0000,0.4926,0.4769,0.0157,1.1652,1.1547,0.0105,0.0000,0.0000,0.0000,16.6667,0.0000,중립,변화 미미,보정 강화 필요
ANET,미국주식,6,33.3333,33.3333,0.0000,1.1018,1.1042,-0.0023,3.1011,3.1075,-0.0064,0.1610,0.1610,0.0000,16.6667,0.0000,중립,변화 미미,보정 강화 필요
APP,미국주식,6,0.0000,0.0000,0.0000,1.1302,1.1549,-0.0248,6.0268,6.1360,-0.1093,-0.9995,-0.6278,0.3717,16.6667,33.3333,중립,변화 미미,보정 유지
ARM,미국주식,6,50.0000,50.0000,0.0000,1.3265,1.2962,0.0303,2.8955,2.9603,-0.0648,1.3204,1.3204,0.0000,16.6667,16.6667,개선,보정 후 시초가 오차 감소,보정 강화 필요
ASTS,미국주식,6,50.0000,66.6667,16.6667,1.4704,1.5138,-0.0434,4.5414,4.4972,0.0442,-0.2690,0.5109,0.7799,16.6667,50.0000,중립,변화 미미,보정 유지
AVAV,미국주식,6,33.3333,33.3333,0.0000,1.1948,1.2051,-0.0104,3.0579,3.0744,-0.0166,-0.4724,-0.4724,0.0000,0.0000,33.3333,중립,변화 미미,보정 강화 필요
AVGO,미국주식,6,50.0000,50.0000,0.0000,1.4387,1.4423,-0.0035,3.1010,3.1729,-0.0720,0.0000,0.0000,0.0000,16.6667,33.3333,중립,변화 미미,보정 강화 필요
BMNR,미국주식,3,100.0000,100.0000,0.0000,1.0347,1.0347,0.0000,2.0694,2.0694,0.0000,0.0000,0.0000,0.0000,33.3333,33.3333,중립,변화 미미,보정 강화 필요
CAT,미국주식,6,50.0000,50.0000,0.0000,0.7615,0.7791,-0.0175,2.9473,2.9976,-0.0503,-0.2155,-0.2155,0.0000,33.3333,0.0000,중립,변화 미미,보정 강화 필요
CEG,미국주식,6,50.0000,50.0000,0.0000,0.8710,0.8762,-0.0053,2.7586,2.8319,-0.0733,-0.2620,-0.2620,0.0000,33.3333,16.6667,중립,변화 미미,보정 강화 필요
COHR,미국주식,6,50.0000,50.0000,0.0000,1.3355,1.3614,-0.0259,3.7360,3.8066,-0.0706,0.2807,0.0529,-0.2278,0.0000,0.0000,중립,변화 미미,보정 약화 필요
COIN,미국주식,6,33.3333,33.3333,0.0000,1.4105,1.4152,-0.0047,5.2527,5.3035,-0.0508,0.3485,1.1505,0.8020,33.3333,16.6667,개선,변화 미미,보정 유지
CRCL,미국주식,6,50.0000,50.0000,0.0000,1.5640,1.5028,0.0612,3.4730,3.5773,-0.1043,0.2047,0.0000,-0.2047,16.6667,0.0000,중립,변화 미미,보정 약화 필요
CRDO,미국주식,6,50.0000,33.3333,-16.6667,1.0906,1.0287,0.0619,7.7884,8.0468,-0.2585,3.0921,1.8243,-1.2678,16.6667,16.6667,중립,변화 미미,보정 약화 필요
DDOG,미국주식,6,16.6667,16.6667,0.0000,0.8899,0.9076,-0.0177,3.2464,3.2788,-0.0324,0.4009,0.4009,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
DUOL,미국주식,6,50.0000,50.0000,0.0000,1.0557,1.0704,-0.0147,2.4570,2.6038,-0.1469,-0.0662,-0.0662,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
ETN,미국주식,6,33.3333,33.3333,0.0000,1.0813,1.1071,-0.0257,2.8097,2.7313,0.0785,-0.3512,-0.1186,0.2326,16.6667,0.0000,개선,변화 미미,보정 유지
GE,미국주식,6,50.0000,50.0000,0.0000,0.9643,0.9692,-0.0048,2.3610,2.3895,-0.0286,0.0867,0.0190,-0.0677,16.6667,16.6667,중립,변화 미미,보정 강화 필요
GOOGL,미국주식,6,50.0000,50.0000,0.0000,0.3953,0.4257,-0.0304,1.6115,1.6011,0.0104,0.0698,0.0813,0.0115,16.6667,33.3333,중립,변화 미미,보정 강화 필요
HIMS,미국주식,6,16.6667,16.6667,0.0000,1.9497,1.8461,0.1036,6.6845,6.4540,0.2304,0.0000,0.0000,0.0000,16.6667,0.0000,개선,보정 후 시초가 오차 감소 / 보정 후 종가 오차 감소,보정 강화 필요
HOOD,미국주식,6,33.3333,33.3333,0.0000,0.8144,0.8216,-0.0071,3.6132,3.9939,-0.3807,0.5357,0.3091,-0.2266,16.6667,33.3333,중립,변화 미미,보정 약화 필요
HUT,미국주식,6,33.3333,33.3333,0.0000,0.8278,0.7958,0.0319,5.6296,5.5190,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,개선,변화 미미,보정 강화 필요
INTC,미국주식,6,33.3333,33.3333,0.0000,1.9253,1.9861,-0.0608,2.6481,2.6859,-0.0378,-0.0693,-0.0693,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
IONQ,미국주식,6,50.0000,50.0000,0.0000,1.6606,1.5161,0.1445,5.0632,5.1723,-0.1091,-0.0134,-0.0134,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
IREN,미국주식,6,33.3333,33.3333,0.0000,1.0920,1.0878,0.0043,5.8890,6.0026,-0.1136,-0.9631,0.0000,0.9631,33.3333,16.6667,중립,변화 미미,보정 유지
IWM,미국주식,6,66.6667,66.6667,0.0000,0.9571,0.9262,0.0309,1.2384,1.2526,-0.0143,0.0362,-0.1228,-0.1589,0.0000,33.3333,중립,변화 미미,보정 강화 필요
JOBY,미국주식,6,50.0000,50.0000,0.0000,1.2429,1.2674,-0.0246,2.3865,2.3974,-0.0108,0.5373,0.5373,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
KTOS,미국주식,6,50.0000,33.3333,-16.6667,2.0718,2.0326,0.0392,2.8084,2.8249,-0.0165,0.3239,0.3239,0.0000,16.6667,50.0000,중립,변화 미미,보정 강화 필요
LITE,미국주식,6,33.3333,33.3333,0.0000,2.5680,2.6045,-0.0365,5.6060,5.6441,-0.0381,0.5924,0.0000,-0.5924,16.6667,0.0000,중립,변화 미미,보정 약화 필요
LUNR,미국주식,6,66.6667,66.6667,0.0000,3.5815,3.6209,-0.0393,3.7367,3.7681,-0.0314,0.0659,0.0659,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
MDB,미국주식,6,50.0000,50.0000,0.0000,1.0480,1.0534,-0.0054,2.8242,2.8775,-0.0533,1.1758,1.1758,0.0000,0.0000,33.3333,중립,변화 미미,보정 강화 필요
META,미국주식,6,50.0000,50.0000,0.0000,1.1075,1.1102,-0.0027,1.9429,1.8972,0.0457,0.0287,0.0287,0.0000,0.0000,0.0000,개선,보정 후 종가 오차 감소,보정 강화 필요
MRVL,미국주식,6,50.0000,50.0000,0.0000,0.8663,0.8840,-0.0176,4.0415,4.0630,-0.0216,0.5780,0.5780,0.0000,0.0000,33.3333,중립,변화 미미,보정 강화 필요
MSFT,미국주식,6,16.6667,16.6667,0.0000,1.1628,1.1827,-0.0199,2.5796,2.7946,-0.2151,0.4255,-0.1502,-0.5757,0.0000,50.0000,악화,변화 미미,보정 약화 필요
MU,미국주식,6,0.0000,0.0000,0.0000,2.0124,1.9914,0.0209,4.9897,4.8582,0.1315,-1.4005,-1.4005,0.0000,16.6667,0.0000,중립,변화 미미,보정 강화 필요
NBIS,미국주식,6,50.0000,50.0000,0.0000,2.4949,2.8587,-0.3638,6.1016,6.1129,-0.0113,0.0000,0.0000,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
NET,미국주식,6,50.0000,50.0000,0.0000,1.6814,1.6871,-0.0057,4.0811,4.1329,-0.0518,0.8588,0.0000,-0.8588,0.0000,16.6667,중립,변화 미미,보정 약화 필요
NVDA,미국주식,6,50.0000,50.0000,0.0000,0.3059,0.3272,-0.0213,2.3607,2.3793,-0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
OKLO,미국주식,6,50.0000,50.0000,0.0000,1.2605,1.2185,0.0420,4.2684,4.1145,0.1539,-1.2789,-1.2789,0.0000,16.6667,0.0000,중립,변화 미미,보정 강화 필요
PLTR,미국주식,6,50.0000,50.0000,0.0000,1.1002,1.1073,-0.0071,2.5930,2.6141,-0.0211,-0.3371,-0.3371,0.0000,16.6667,16.6667,중립,변화 미미,보정 강화 필요
QQQ,미국주식,6,33.3333,33.3333,0.0000,0.9526,0.9509,0.0017,1.5624,1.5508,0.0116,0.0000,0.0000,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
QUBT,미국주식,6,50.0000,50.0000,0.0000,1.4068,1.3918,0.0150,6.9232,7.0907,-0.1675,0.1724,0.1724,0.0000,16.6667,16.6667,중립,변화 미미,보정 강화 필요
RDDT,미국주식,6,33.3333,16.6667,-16.6667,1.0913,1.1148,-0.0235,3.9704,4.0438,-0.0734,0.4781,0.4109,-0.0672,16.6667,33.3333,중립,변화 미미,보정 강화 필요
RGTI,미국주식,6,50.0000,50.0000,0.0000,1.0635,1.1177,-0.0543,6.5940,6.6326,-0.0386,3.4629,3.6554,0.1925,33.3333,33.3333,중립,변화 미미,보정 강화 필요
RKLB,미국주식,6,66.6667,66.6667,0.0000,2.5326,2.5502,-0.0176,3.3339,3.3778,-0.0439,0.7941,0.7941,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
SMCI,미국주식,6,50.0000,50.0000,0.0000,0.7031,0.6547,0.0483,4.2403,4.2988,-0.0585,1.6665,1.3503,-0.3162,16.6667,0.0000,중립,변화 미미,보정 약화 필요
SMH,미국주식,6,50.0000,50.0000,0.0000,0.6560,0.6801,-0.0241,1.5799,1.5913,-0.0114,0.2310,0.2310,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
SMR,미국주식,6,33.3333,33.3333,0.0000,1.4207,1.4956,-0.0748,4.0826,4.0345,0.0481,0.5953,0.6754,0.0802,16.6667,0.0000,중립,변화 미미,보정 강화 필요
SNDK,미국주식,6,16.6667,16.6667,0.0000,1.6822,1.6492,0.0330,5.9862,6.0077,-0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,중립,변화 미미,보정 강화 필요
SNOW,미국주식,6,66.6667,66.6667,0.0000,1.3708,1.3803,-0.0095,2.2405,2.3131,-0.0726,1.2414,0.3769,-0.8645,0.0000,16.6667,중립,변화 미미,보정 약화 필요
SOXX,미국주식,6,66.6667,66.6667,0.0000,1.3923,1.4145,-0.0221,2.1368,2.1560,-0.0192,0.0708,0.0708,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
SPY,미국주식,6,33.3333,33.3333,0.0000,1.1188,1.0682,0.0506,1.5910,1.5169,0.0740,0.0000,0.0000,0.0000,0.0000,16.6667,개선,보정 후 시초가 오차 감소 / 보정 후 종가 오차 감소,보정 강화 필요
TEM,미국주식,6,50.0000,50.0000,0.0000,1.1116,1.1344,-0.0228,2.8893,2.8080,0.0813,0.8365,0.8365,0.0000,0.0000,16.6667,중립,변화 미미,보정 강화 필요
TMDX,미국주식,6,50.0000,50.0000,0.0000,1.0749,0.9615,0.1134,3.7617,3.8255,-0.0638,0.0000,0.0000,0.0000,0.0000,33.3333,중립,변화 미미,보정 강화 필요
TSLA,미국주식,6,33.3333,33.3333,0.0000,0.9664,0.9781,-0.0117,2.3735,2.3842,-0.0107,-0.2261,-0.1590,0.0671,0.0000,0.0000,개선,변화 미미,보정 강화 필요
VRT,미국주식,6,50.0000,50.0000,0.0000,1.4056,1.3840,0.0216,3.4911,3.4599,0.0312,0.5010,0.5010,0.0000,16.6667,0.0000,중립,변화 미미,보정 강화 필요
