code,symbol,name_kr,name,market_type,sector,source,note
128660,128660.KQ,피제이메탈,피제이메탈,코스닥,미분류,KIS종목정보,전체종목마스터
129890,129890.KQ,앱코,앱코,코스닥,미분류,KIS종목정보,전체종목마스터
129920,129920.KQ,대성하이텍,대성하이텍,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
130500,130500.KQ,GH신소재,GH신소재,코스닥,Materials/Parts,KIS종목정보,전체종목마스터
130580,130580.KQ,나이스디앤비,나이스디앤비,코스닥,미분류,KIS종목정보,전체종목마스터
130740,130740.KQ,티피씨글로벌,티피씨글로벌,코스닥,미분류,KIS종목정보,전체종목마스터
131030,131030.KQ,옵투스제약,옵투스제약,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
131090,131090.KQ,시큐브,시큐브,코스닥,미분류,KIS종목정보,전체종목마스터
131100,131100.KQ,티엔엔터테인먼트,티엔엔터테인먼트,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
131180,131180.KQ,딜리,딜리,코스닥,미분류,KIS종목정보,전체종목마스터
131220,131220.KQ,대한과학,대한과학,코스닥,Retail,KIS종목정보,전체종목마스터
131290,131290.KQ,티에스이,티에스이,코스닥,Semiconductor,KIS종목정보,전체종목마스터
131370,131370.KQ,알서포트,알서포트,코스닥,미분류,KIS종목정보,전체종목마스터
131400,131400.KQ,이브이첨단소재,이브이첨단소재,코스닥,Materials/Parts,KIS종목정보,전체종목마스터
131760,131760.KQ,파인텍,파인텍,코스닥,Display,KIS종목정보,전체종목마스터
131970,131970.KQ,두산테스나,두산테스나,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
133750,133750.KQ,메가엠디,메가엠디,코스닥,Education,KIS종목정보,전체종목마스터
134060,134060.KQ,이퓨쳐,이퓨쳐,코스닥,Education,KIS종목정보,전체종목마스터
134580,134580.KQ,탑코미디어,탑코미디어,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
136150,136150.KQ,원일티엔아이,원일티엔아이,코스닥,미분류,KIS종목정보,전체종목마스터
136410,136410.KQ,아셈스,아셈스,코스닥,미분류,KIS종목정보,전체종목마스터
136480,136480.KQ,하림,하림,코스닥,미분류,KIS종목정보,전체종목마스터
136540,136540.KQ,윈스테크넷,윈스테크넷,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
137080,137080.KQ,나래나노텍,나래나노텍,코스닥,미분류,KIS종목정보,전체종목마스터
137400,137400.KQ,피엔티,피엔티,코스닥,Materials/Parts,KIS종목정보,전체종목마스터
137940,137940.KQ,넥스트아이,넥스트아이,코스닥,미분류,KIS종목정보,전체종목마스터
137950,137950.KQ,제이씨케미칼,제이씨케미칼,코스닥,Oil/Chemical,KIS종목정보,전체종목마스터
138070,138070.KQ,신진에스엠,신진에스엠,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
138080,138080.KQ,오이솔루션,오이솔루션,코스닥,Telecom,KIS종목정보,전체종목마스터
138360,138360.KQ,앤로보틱스,앤로보틱스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
138610,138610.KQ,나이벡,나이벡,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
139670,139670.KQ,키네마스터,키네마스터,코스닥,미분류,KIS종목정보,전체종목마스터
140070,140070.KQ,서플러스글로벌,서플러스글로벌,코스닥,Semiconductor,KIS종목정보,전체종목마스터
140410,140410.KQ,메지온,메지온,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
140430,140430.KQ,카티스,카티스,코스닥,미분류,KIS종목정보,전체종목마스터
140520,140520.KQ,대창스틸,대창스틸,코스닥,미분류,KIS종목정보,전체종목마스터
140670,140670.KQ,알에스오토메이션,알에스오토메이션,코스닥,미분류,KIS종목정보,전체종목마스터
140860,140860.KQ,파크시스템스,파크시스템스,코스닥,미분류,KIS종목정보,전체종목마스터
141000,141000.KQ,비아트론,비아트론,코스닥,Display,KIS종목정보,전체종목마스터
141080,141080.KQ,리가켐바이오,리가켐바이오,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
142210,142210.KQ,유니트론텍,유니트론텍,코스닥,Semiconductor,KIS종목정보,전체종목마스터
142280,142280.KQ,녹십자엠에스,녹십자엠에스,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
142760,142760.KQ,모아라이프플러스,모아라이프플러스,코스닥,미분류,KIS종목정보,전체종목마스터
143160,143160.KQ,아이디스,아이디스,코스닥,미분류,KIS종목정보,전체종목마스터
143240,143240.KQ,사람인,사람인,코스닥,미분류,KIS종목정보,전체종목마스터
143540,143540.KQ,영우디에스피,영우디에스피,코스닥,미분류,KIS종목정보,전체종목마스터
144510,144510.KQ,지씨셀,지씨셀,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
144960,144960.KQ,뉴파워프라즈마,뉴파워프라즈마,코스닥,미분류,KIS종목정보,전체종목마스터
145020,145020.KQ,휴젤,휴젤,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
145170,145170.KQ,노브랜드,노브랜드,코스닥,미분류,KIS종목정보,전체종목마스터
146060,146060.KQ,율촌,율촌,코스닥,미분류,KIS종목정보,전체종목마스터
146320,146320.KQ,비씨엔씨,비씨엔씨,코스닥,Game,KIS종목정보,전체종목마스터
147760,147760.KQ,피엠티,피엠티,코스닥,미분류,KIS종목정보,전체종목마스터
147830,147830.KQ,제룡산업,제룡산업,코스닥,Power/Utility,KIS종목정보,전체종목마스터
148150,148150.KQ,세경하이테크,세경하이테크,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
148250,148250.KQ,알엔투테크놀로지,알엔투테크놀로지,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
148780,148780.KQ,비큐AI,비큐AI,코스닥,AI/Software,KIS종목정보,전체종목마스터
148930,148930.KQ,에이치와이티씨,에이치와이티씨,코스닥,미분류,KIS종목정보,전체종목마스터
149950,149950.KQ,아바텍,아바텍,코스닥,미분류,KIS종목정보,전체종목마스터
149980,149980.KQ,하이로닉,하이로닉,코스닥,미분류,KIS종목정보,전체종목마스터
150900,150900.KQ,파수AI,파수AI,코스닥,AI/Software,KIS종목정보,전체종목마스터
151860,151860.KQ,KG에코솔루션,KG에코솔루션,코스닥,미분류,KIS종목정보,전체종목마스터
153460,153460.KQ,네이블,네이블,코스닥,미분류,KIS종목정보,전체종목마스터
153490,153490.KQ,우리이앤엘하루틴,우리이앤엘하루틴,코스닥,미분류,KIS종목정보,전체종목마스터
153710,153710.KQ,옵티팜,옵티팜,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
154030,154030.KQ,아시아종묘,아시아종묘,코스닥,Food/Beverage,KIS종목정보,전체종목마스터
154040,154040.KQ,다산솔루에타,다산솔루에타,코스닥,미분류,KIS종목정보,전체종목마스터
155650,155650.KQ,와이엠씨,와이엠씨,코스닥,미분류,KIS종목정보,전체종목마스터
156100,156100.KQ,엘앤케이바이오,엘앤케이바이오,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
158430,158430.KQ,아톤,아톤,코스닥,미분류,KIS종목정보,전체종목마스터
159010,159010.KQ,아스플로,아스플로,코스닥,미분류,KIS종목정보,전체종목마스터
159580,159580.KQ,제로투세븐,제로투세븐,코스닥,미분류,KIS종목정보,전체종목마스터
159910,159910.KQ,에코글로우,에코글로우,코스닥,미분류,KIS종목정보,전체종목마스터
160190,160190.KQ,하이젠알앤엠,하이젠알앤엠,코스닥,AI/Software,KIS종목정보,전체종목마스터
160550,160550.KQ,NEW,NEW,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
160980,160980.KQ,싸이맥스,싸이맥스,코스닥,Semiconductor,KIS종목정보,전체종목마스터
161580,161580.KQ,필옵틱스,필옵틱스,코스닥,Materials/Parts,KIS종목정보,전체종목마스터
162300,162300.KQ,신스틸,신스틸,코스닥,미분류,KIS종목정보,전체종목마스터
163280,163280.KQ,에어레인,에어레인,코스닥,미분류,KIS종목정보,전체종목마스터
163730,163730.KQ,핑거,핑거,코스닥,미분류,KIS종목정보,전체종목마스터
166090,166090.KQ,하나머티리얼즈,하나머티리얼즈,코스닥,Semiconductor,KIS종목정보,전체종목마스터
166480,166480.KQ,코아스템켐온,코아스템켐온,코스닥,미분류,KIS종목정보,전체종목마스터
168330,168330.KQ,내츄럴엔도텍,내츄럴엔도텍,코스닥,Food/Beverage,KIS종목정보,전체종목마스터
168360,168360.KQ,펨트론,펨트론,코스닥,미분류,KIS종목정보,전체종목마스터
169330,169330.KQ,엠브레인,엠브레인,코스닥,미분류,KIS종목정보,전체종목마스터
170030,170030.KQ,현대공업,현대공업,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
170790,170790.KQ,파이오링크,파이오링크,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
170920,170920.KQ,엘티씨,엘티씨,코스닥,Semiconductor,KIS종목정보,전체종목마스터
171010,171010.KQ,램테크놀러지,램테크놀러지,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
171090,171090.KQ,선익시스템,선익시스템,코스닥,미분류,KIS종목정보,전체종목마스터
171120,171120.KQ,라이온켐텍,라이온켐텍,코스닥,Construction,KIS종목정보,전체종목마스터
172670,172670.KQ,에이엘티,에이엘티,코스닥,미분류,KIS종목정보,전체종목마스터
173130,173130.KQ,오파스넷,오파스넷,코스닥,미분류,KIS종목정보,전체종목마스터
173940,173940.KQ,에프엔씨엔터,에프엔씨엔터,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
174900,174900.KQ,앱클론,앱클론,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
175140,175140.KQ,휴먼테크놀로지,휴먼테크놀로지,코스닥,Machinery/Equipment,KIS종목정보,전체종목마스터
175250,175250.KQ,아이큐어,아이큐어,코스닥,Retail,KIS종목정보,전체종목마스터
176750,176750.KQ,듀켐바이오,듀켐바이오,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
177350,177350.KQ,베셀,베셀,코스닥,Semiconductor,KIS종목정보,전체종목마스터
177830,177830.KQ,파버나인,파버나인,코스닥,Battery/EV,KIS종목정보,전체종목마스터
177900,177900.KQ,쓰리에이로직스,쓰리에이로직스,코스닥,미분류,KIS종목정보,전체종목마스터
178320,178320.KQ,서진시스템,서진시스템,코스닥,Telecom,KIS종목정보,전체종목마스터
178780,178780.KQ,일월지엠엘,일월지엠엘,코스닥,Defense/Aerospace,KIS종목정보,전체종목마스터
179290,179290.KQ,엠아이텍,엠아이텍,코스닥,미분류,KIS종목정보,전체종목마스터
