symbol,name,dept,asOf
082660,코스나인,관리종목(소속부없음),2026-08-25
418250,시큐레터,관리종목(소속부없음),2026-08-25
023440,제이스코홀딩스,관리종목(소속부없음),2026-08-25
340360,다보링크,투자주의환기종목(소속부없음),2026-08-25
286750,나노실리칸첨단소재,투자주의환기종목(소속부없음),2026-08-25
084650,랩지노믹스,관리종목(소속부없음),2026-08-25
288330,파라택시스코리아,관리종목(소속부없음),2026-08-25
219550,디와이디,관리종목(소속부없음),2026-08-25
226340,본느,관리종목(소속부없음),2026-08-25
196300,HLB펩,관리종목(소속부없음),2026-08-25
064090,인크레더블버즈,관리종목(소속부없음),2026-08-25
066900,디에이피,관리종목(소속부없음),2026-08-25
057540,옴니시스템,관리종목(소속부없음),2026-08-25
284620,카이노스메드,투자주의환기종목(소속부없음),2026-08-25
068940,셀피글로벌,관리종목(소속부없음),2026-08-25
263050,유틸렉스,관리종목(소속부없음),2026-08-25
025440,DH오토웨어,투자주의환기종목(소속부없음),2026-08-25
037330,인지디스플레,관리종목(소속부없음),2026-08-25
071850,캐스텍코리아,투자주의환기종목(소속부없음),2026-08-25
099220,SDN,관리종목(소속부없음),2026-08-25
258830,세종메디칼,관리종목(소속부없음),2026-08-25
022220,티케이지애강,관리종목(소속부없음),2026-08-25
246250,에스엘에스바이오,관리종목(소속부없음),2026-08-25
109960,앱토크롬,투자주의환기종목(소속부없음),2026-08-25
043220,티에스넥스젠,관리종목(소속부없음),2026-08-25
276730,한울앤제주,투자주의환기종목(소속부없음),2026-08-25
188260,세니젠,투자주의환기종목(소속부없음),2026-08-25
226330,신테카바이오,투자주의환기종목(소속부없음),2026-08-25
123840,뉴온,투자주의환기종목(소속부없음),2026-08-25
215790,이노인스트루먼트,관리종목(소속부없음),2026-08-25
033050,제이엠아이,관리종목(소속부없음),2026-08-25
368970,오에스피,관리종목(소속부없음),2026-08-25
298060,풍전약품,관리종목(소속부없음),2026-08-25
377030,비트맥스,관리종목(소속부없음),2026-08-25
033200,모아텍,투자주의환기종목(소속부없음),2026-08-25
095910,에스에너지,관리종목(소속부없음),2026-08-25
195990,루트K,관리종목(소속부없음),2026-08-25
080720,한국유니온제약,관리종목(소속부없음),2026-08-25
378800,샤페론,관리종목(소속부없음),2026-08-25
067770,세진티에스,관리종목(소속부없음),2026-08-25
065690,파커스,투자주의환기종목(소속부없음),2026-08-25
073190,듀오백,관리종목(소속부없음),2026-08-25
214610,롤링스톤,관리종목(소속부없음),2026-08-25
073570,리튬포어스,관리종목(소속부없음),2026-08-25
031860,디에이치엑스컴퍼니,관리종목(소속부없음),2026-08-25
900120,씨엑스아이,관리종목(소속부없음),2026-08-25
018700,졸스,투자주의환기종목(소속부없음),2026-08-25
376930,노을,관리종목(소속부없음),2026-08-25
088290,이원컴포텍,관리종목(소속부없음),2026-08-25
482680,미래에셋비전스팩7호,SPAC(소속부없음),2026-08-25
241820,피씨엘,관리종목(소속부없음),2026-08-25
477380,미래에셋비전스팩4호,SPAC(소속부없음),2026-08-25
103230,에스앤더블류,관리종목(소속부없음),2026-08-25
078860,아이오케이이엔엠,투자주의환기종목(소속부없음),2026-08-25
037400,우리엔터프라이즈,관리종목(소속부없음),2026-08-25
009730,이렘,투자주의환기종목(소속부없음),2026-08-25
045520,크린앤사이언스,관리종목(소속부없음),2026-08-25
050090,비케이홀딩스,관리종목(소속부없음),2026-08-25
009620,삼보산업,투자주의환기종목(소속부없음),2026-08-25
225590,패션플랫폼,관리종목(소속부없음),2026-08-25
0072Z0,KB제33호스팩,SPAC(소속부없음),2026-08-25
223310,사토시홀딩스,투자주의환기종목(소속부없음),2026-08-25
477340,에이치엠씨제7호스팩,SPAC(소속부없음),2026-08-25
177350,베셀,투자주의환기종목(소속부없음),2026-08-25
224060,더코디,투자주의환기종목(소속부없음),2026-08-25
0101C0,하나36호스팩,SPAC(소속부없음),2026-08-25
0130H0,엔에이치스팩33호,SPAC(소속부없음),2026-08-25
030350,드래곤플라이,관리종목(소속부없음),2026-08-25
060480,국일신동,관리종목(소속부없음),2026-08-25
0044K0,삼성스팩10호,SPAC(소속부없음),2026-08-25
291810,핀텔,관리종목(소속부없음),2026-08-25
473050,유안타제15호스팩,관리종목(소속부없음),2026-08-25
239340,이스트에이드,관리종목(소속부없음),2026-08-25
0115H0,삼성스팩13호,SPAC(소속부없음),2026-08-25
478440,미래에셋비전스팩6호,SPAC(소속부없음),2026-08-25
069920,엑시온그룹,관리종목(소속부없음),2026-08-25
479880,한국제15호스팩,SPAC(소속부없음),2026-08-25
008290,원풍물산,관리종목(소속부없음),2026-08-25
0165X0,메리츠제2호스팩,SPAC(소속부없음),2026-08-25
002680,한탑,관리종목(소속부없음),2026-08-25
191410,육일씨엔에쓰,관리종목(소속부없음),2026-08-25
0099W0,미래에셋비전스팩11호,SPAC(소속부없음),2026-08-25
352770,셀레스트라,관리종목(소속부없음),2026-08-25
489480,키움제11호스팩,SPAC(소속부없음),2026-08-25
244460,올리패스,관리종목(소속부없음),2026-08-25
0134X0,대신밸런스제20호스팩,SPAC(소속부없음),2026-08-25
035620,바른손이앤에이,관리종목(소속부없음),2026-08-25
0164H0,한국제16호스팩,SPAC(소속부없음),2026-08-25
079950,인베니아,관리종목(소속부없음),2026-08-25
481890,엔에이치스팩31호,SPAC(소속부없음),2026-08-25
0099X0,IBKS제25호스팩,SPAC(소속부없음),2026-08-25
0096B0,삼성스팩12호,SPAC(소속부없음),2026-08-25
489730,디비금융제13호스팩,SPAC(소속부없음),2026-08-25
0097F0,미래에셋비전스팩10호,SPAC(소속부없음),2026-08-25
478390,KB제29호스팩,SPAC(소속부없음),2026-08-25
471050,대신밸런스제17호스팩,관리종목(소속부없음),2026-08-25
054180,메디콕스,관리종목(소속부없음),2026-08-25
0093G0,미래에셋비전스팩8호,SPAC(소속부없음),2026-08-25
012340,뉴인텍,관리종목(소속부없음),2026-08-25
0037T0,KB제32호스팩,SPAC(소속부없음),2026-08-25
482520,교보16호스팩,SPAC(소속부없음),2026-08-25
492220,KB제31호스팩,SPAC(소속부없음),2026-08-25
289010,아이스크림에듀,관리종목(소속부없음),2026-08-25
0054V0,엔에이치스팩32호,SPAC(소속부없음),2026-08-25
0131D0,키움히어로제2호스팩,SPAC(소속부없음),2026-08-25
065570,삼영이엔씨,관리종목(소속부없음),2026-08-25
079190,케스피온,관리종목(소속부없음),2026-08-25
0091W0,신영스팩11호,SPAC(소속부없음),2026-08-25
477760,DB금융스팩12호,SPAC(소속부없음),2026-08-25
0041L0,하나35호스팩,SPAC(소속부없음),2026-08-25
240600,유진테크놀로지,관리종목(소속부없음),2026-08-25
0088D0,메리츠제1호스팩,SPAC(소속부없음),2026-08-25
0132G0,교보20호스팩,SPAC(소속부없음),2026-08-25
035290,골드앤에스,관리종목(소속부없음),2026-08-25
469900,하나31호스팩,SPAC(소속부없음),2026-08-25
247660,나노씨엠에스,관리종목(소속부없음),2026-08-25
482690,대신밸런스제19호스팩,SPAC(소속부없음),2026-08-25
058450,한주에이알티,투자주의환기종목(소속부없음),2026-08-25
474660,신한제12호스팩,SPAC(소속부없음),2026-08-25
028080,휴맥스홀딩스,관리종목(소속부없음),2026-08-25
487360,신한제14호스팩,SPAC(소속부없음),2026-08-25
0071M0,삼성스팩11호,SPAC(소속부없음),2026-08-25
474490,유안타제16호스팩,SPAC(소속부없음),2026-08-25
477470,미래에셋비전스팩5호,SPAC(소속부없음),2026-08-25
0105P0,유진스팩12호,SPAC(소속부없음),2026-08-25
496070,신한제16호스팩,SPAC(소속부없음),2026-08-25
001000,신라섬유,관리종목(소속부없음),2026-08-25
084180,수성웹툰,관리종목(소속부없음),2026-08-25
0129K0,신한제18호스팩,SPAC(소속부없음),2026-08-25
