ticker,market,prediction_date,target_date,actual_direction,raw_predicted_direction,adjusted_predicted_direction,market_filtered_direction,raw_direction_hit,adjusted_direction_hit,market_filtered_direction_hit,raw_open_mid,adjusted_open_mid,actual_open,raw_open_error_pct,adjusted_open_error_pct,raw_close_mid,adjusted_close_mid,actual_close,raw_close_error_pct,adjusted_close_error_pct,raw_final_decision,adjusted_final_decision,market_filtered_decision,raw_confidence_score,adjusted_confidence_score,market_filtered_confidence_score,preferred_entry,stop_loss,take_profit1,entry_touched,stop_touched,tp1_touched,raw_pnl_pct,adjusted_pnl_pct,market_filtered_pnl_pct,market_regime,market_risk_score,adjustment_applied,market_filter_applied,improvement_label,improvement_reason,created_at
042700,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,406587.6000,406587.6000,393000.0000,-3.3419,-3.3419,417169.0286,417169.0286,394000.0000,-5.5539,-5.5539,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,393436.0327,377555.0963,421701.5013,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
108490,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,359872.6500,359872.6500,363000.0000,0.8690,0.8690,375091.5786,375091.5786,340000.0000,-9.3555,-9.3555,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,349918.0345,330757.6141,377700.6441,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
007660,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,134045.0100,134045.0100,132600.0000,-1.0780,-1.0780,135650.0100,135650.0100,130200.0000,-4.0177,-4.0177,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,130015.3932,124266.7787,139970.4859,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
090360,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,75729.2500,75729.2500,79500.0000,4.9793,4.9793,77747.1786,77747.1786,79300.0000,1.9973,1.9973,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,75350.6037,70139.8320,82906.2227,False,False,True,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
000270,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,182461.7500,182461.7500,182100.0000,-0.1983,-0.1983,185914.0357,185914.0357,176900.0000,-4.8485,-4.8485,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,17.0000,17.0000,17.0000,181549.4413,170781.5805,204286.1067,True,False,False,-2.5610,-2.5610,-2.5610,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
403870,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,56212.4500,56212.4500,55300.0000,-1.6232,-1.6232,57906.3429,57906.3429,53500.0000,-7.6094,-7.6094,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,54280.6221,52153.9533,58723.9072,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
012330,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,659708.5000,659708.5000,680000.0000,3.0758,3.0758,677783.8571,677783.8571,655000.0000,-3.3615,-3.3615,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,629797.9875,570649.5869,715563.1683,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
058470,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,113568.9900,113568.9900,111200.0000,-2.0859,-2.0859,114713.8114,114713.8114,108300.0000,-5.5911,-5.5911,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,7.0000,7.0000,7.0000,112437.0138,108234.2138,127618.3160,True,True,False,-3.7379,-3.7379,-3.7379,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
035420,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,203515.0000,203515.0000,204000.0000,0.2383,0.2383,204125.8571,204125.8571,211000.0000,3.3676,3.3676,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,17.0000,17.0000,17.0000,198116.5500,190938.8480,208524.2180,False,False,True,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
095340,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,246366.8000,246366.8000,242500.0000,-1.5695,-1.5695,250696.0857,250696.0857,238500.0000,-4.8649,-4.8649,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,245134.9660,231916.7508,264301.3780,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
035720,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,43435.3350,43435.3350,43000.0000,-1.0023,-1.0023,43667.8350,43667.8350,44650.0000,2.2492,2.2492,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,17.0000,17.0000,17.0000,42376.5216,41535.4044,43819.9074,False,False,True,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
067310,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,44288.1250,44288.1250,43650.0000,-1.4408,-1.4408,45644.9286,45644.9286,41100.0000,-9.9571,-9.9571,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,42052.2074,38209.8531,47623.6211,True,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
018260,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,182258.4500,182258.4500,180200.0000,-1.1294,-1.1294,185575.5929,185575.5929,184000.0000,-0.8490,-0.8490,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,17.0000,17.0000,17.0000,178456.6566,174233.7559,193077.2945,True,False,False,3.1063,3.1063,3.1063,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
036930,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,170553.6000,170553.6000,167000.0000,-2.0836,-2.0836,177123.6000,177123.6000,166700.0000,-5.8849,-5.8849,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,159467.6160,134349.0934,195889.4737,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
207940,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,1420011.0000,1420011.0000,1403000.0000,-1.1979,-1.1979,1425089.5714,1425089.5714,1402000.0000,-1.6202,-1.6202,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,22.0000,22.0000,22.0000,1402462.6909,1383940.8052,1496755.9271,True,False,False,-0.0330,-0.0330,-0.0330,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
