구분,조건,기록수,실행건수,승률,기대값,진입가 터치율,손절 먼저 터치율,관망/매수금지 적중률,최근 유사 조건 승률,최근 유사 조건 기대값
종목별,MDB,5,0,-,-,60.0%,0.0%,0.0%,-,-
종목별,META,5,0,-,-,20.0%,0.0%,100.0%,-,-
종목별,MRVL,5,0,-,-,80.0%,0.0%,40.0%,-,-
종목별,MSFT,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,MU,5,0,-,-,60.0%,0.0%,80.0%,-,-
종목별,NBIS,5,0,-,-,40.0%,0.0%,80.0%,-,-
종목별,NET,5,0,-,-,40.0%,0.0%,25.0%,-,-
종목별,NVDA,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,OKLO,5,0,-,-,80.0%,0.0%,100.0%,-,-
종목별,PLTR,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,QQQ,5,0,-,-,0.0%,-,100.0%,-,-
종목별,QUBT,5,0,-,-,100.0%,0.0%,60.0%,-,-
종목별,RDDT,5,0,-,-,60.0%,0.0%,100.0%,-,-
종목별,RGTI,5,0,-,-,80.0%,0.0%,60.0%,-,-
종목별,RKLB,5,0,-,-,80.0%,0.0%,40.0%,-,-
종목별,SMCI,5,0,-,-,80.0%,0.0%,60.0%,-,-
종목별,SMH,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,SMR,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,SNDK,5,0,-,-,20.0%,0.0%,75.0%,-,-
종목별,SNOW,5,0,-,-,60.0%,0.0%,20.0%,-,-
종목별,SOXX,5,0,-,-,60.0%,0.0%,66.7%,-,-
종목별,SPY,5,0,-,-,0.0%,-,100.0%,-,-
종목별,TEM,5,0,-,-,80.0%,0.0%,75.0%,-,-
종목별,TMDX,5,0,-,-,20.0%,0.0%,75.0%,-,-
종목별,TSLA,5,0,-,-,60.0%,0.0%,100.0%,-,-
종목별,VRT,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,BMNR,3,0,-,-,33.3%,0.0%,100.0%,-,-
진입유형별,지지선 근처,135,0,-,-,48.9%,0.0%,76.3%,-,-
진입유형별,돌파/재테스트,88,0,-,-,64.8%,0.0%,54.0%,-,-
진입유형별,눌림목,75,0,-,-,53.3%,0.0%,64.4%,-,-
진입유형별,관망/매수금지,2,0,-,-,50.0%,0.0%,-,-,-
판정별,관망 우위,300,0,-,-,54.7%,0.0%,66.7%,-,-
