market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at,quote_fallback_price,실시간현재가,current_price_source
kr,032830,032830,351500.0,351500.0,"351,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,351500.0,"351,500원",KIS 현재가
kr,034020,034020,111300.0,111300.0,"111,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,111300.0,"111,300원",KIS 현재가
kr,034730,034730,659000.0,659000.0,"659,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,659000.0,"659,000원",KIS 현재가
kr,035420,035420,201000.0,201000.0,"201,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,201000.0,"201,000원",KIS 현재가
kr,035720,035720,41350.0,41350.0,"41,350원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,41350.0,"41,350원",KIS 현재가
kr,035900,035900,60100.0,60100.0,"60,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,60100.0,"60,100원",KIS 현재가
kr,036930,036930,235500.0,235500.0,"235,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,235500.0,"235,500원",KIS 현재가
kr,039030,039030,546000.0,546000.0,"546,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,546000.0,"546,000원",KIS 현재가
kr,039440,039440,33400.0,33400.0,"33,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,33400.0,"33,400원",KIS 현재가
kr,041510,041510,86100.0,86100.0,"86,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,86100.0,"86,100원",KIS 현재가
kr,042660,042660,130000.0,130000.0,"130,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,130000.0,"130,000원",KIS 현재가
kr,042700,042700,323500.0,323500.0,"323,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,323500.0,"323,500원",KIS 현재가
kr,047810,047810,166200.0,166200.0,"166,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,166200.0,"166,200원",KIS 현재가
kr,051910,051910,351000.0,351000.0,"351,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,351000.0,"351,000원",KIS 현재가
kr,055550,055550,96550.0,96550.0,"96,550원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,96550.0,"96,550원",KIS 현재가
kr,058470,058470,109200.0,109200.0,"109,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,109200.0,"109,200원",KIS 현재가
kr,064350,064350,210000.0,210000.0,"210,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,210000.0,"210,000원",KIS 현재가
kr,066970,066970,159000.0,159000.0,"159,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,159000.0,"159,000원",KIS 현재가
kr,067310,067310,51700.0,51700.0,"51,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,51700.0,"51,700원",KIS 현재가
kr,068270,068270,196900.0,196900.0,"196,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,196900.0,"196,900원",KIS 현재가
kr,078930,078930,76100.0,76100.0,"76,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,76100.0,"76,100원",KIS 현재가
kr,079550,079550,914000.0,914000.0,"914,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,914000.0,"914,000원",KIS 현재가
kr,086280,086280,235500.0,235500.0,"235,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,235500.0,"235,500원",KIS 현재가
kr,086520,086520,151400.0,151400.0,"151,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,151400.0,"151,400원",KIS 현재가
kr,086790,086790,120600.0,120600.0,"120,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,120600.0,"120,600원",KIS 현재가
kr,086900,086900,99600.0,99600.0,"99,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,99600.0,"99,600원",KIS 현재가
kr,089030,089030,58200.0,58200.0,"58,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,58200.0,"58,200원",KIS 현재가
kr,090360,090360,86900.0,86900.0,"86,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,86900.0,"86,900원",KIS 현재가
