symbol,corp_code,name,year,revenue,operating_income,net_income,total_equity,total_debt,total_assets,current_assets,current_liabilities,retained_earnings,eps,eps_prev,per,pbr,shares_outstanding,market_cap,roe,debt_ratio,operating_margin,net_margin,revenue_growth,eps_growth,peg,div,quality_score,value_score,growth_score,updatedAt
298040,01316245,,2024,4894979612220.0,362479487133.0,222929444192.0,2055618494514.0,4163194426688.0,6218812921202.0,3036422654447.0,3092775159627.0,353099108919.0,,,,,,,10.84,202.53,7.41,4.55,,,,,42.2,48.7,50.0,2026-06-22 16:43:45
298040,01316245,,2023,4300571503251.0,257836947601.0,131922316419.0,1224159409651.0,3537140808779.0,4761300218430.0,2351430099777.0,2811484808084.0,175547848189.0,,,,,,,10.78,288.94,6.0,3.07,,,,,41.0,48.6,50.0,2026-06-22 16:43:45
326030,00878696,,2024,547596283214.0,96339659521.0,226973435375.0,573984249312.0,462826530311.0,1036810779623.0,651371301562.0,396276252761.0,-621531523416.0,,,,,,,39.54,80.63,17.59,41.45,,,,,92.0,71.9,50.0,2026-06-22 16:43:45
326030,00878696,,2023,354891555524.0,-37522197049.0,-35379488498.0,320951194568.0,402219382621.0,723170577189.0,488722241295.0,241618588520.0,-861560729006.0,,,,,,,-11.02,125.32,-10.57,-9.97,,,,,22.7,47.5,50.0,2026-06-22 16:43:45
329180,01390344,,2024,14486453544000.0,705223483000.0,621509420000.0,5704448501000.0,13686498249000.0,19390946750000.0,10403121877000.0,11796215796000.0,1288341189000.0,,,,,,,10.9,239.93,4.87,4.29,,,,,40.2,48.7,50.0,2026-06-22 16:43:45
329180,01390344,,2023,11963925991000.0,178639965000.0,24689214000.0,5207440310000.0,11926177799000.0,17133618109000.0,8799684121000.0,9945027489000.0,772843969000.0,,,,,,,0.47,229.02,1.49,0.21,,,,,21.9,40.4,50.0,2026-06-22 16:43:45
352820,01204056,,2024,2255648536000.0,184045287000.0,-3431847000.0,3513778658000.0,1965408202000.0,5479186860000.0,1787698519000.0,830931772000.0,1400600116000.0,,,,,,,-0.1,55.93,8.16,-0.15,,,,,48.1,54.4,50.0,2026-06-22 16:43:45
352820,01204056,,2023,2178088207000.0,295643307000.0,183449559000.0,3109914968000.0,2235766519000.0,5345681487000.0,1888752497000.0,1772168712000.0,1420376781000.0,,,,,,,5.9,71.89,13.57,8.42,,,,,58.9,57.5,50.0,2026-06-22 16:43:45
353200,01478712,,2024,892135903752.0,11259489061.0,23762727122.0,875513939249.0,213209811638.0,1088723750887.0,465866345845.0,159688137695.0,24674718487.0,,,,,,,2.71,24.35,1.26,2.66,,,,,51.4,59.7,50.0,2026-06-22 16:43:45
353200,01478712,,2023,909651486895.0,23732043885.0,25377820749.0,868336080497.0,259199449761.0,1127535530258.0,433050450649.0,176728997546.0,37368065649.0,,,,,,,2.92,29.85,2.61,2.79,,,,,52.0,59.4,50.0,2026-06-22 16:43:45
