signalDate,symbol,setup,regime,rsi14,distMa20Pct,entry,grossPnlPct,netPnlPct,outcome,barsHeld,exitDate
2012-02-22,KOSPI,BREAKOUT,BULL,62.8,1.9,2016.46,-0.779,-1.279,LOSS,10,2012-03-08
2012-02-22,KOSDAQ,BREAKOUT,BULL,78.9,3.3,543.79,-1.477,-1.977,LOSS,10,2012-03-08
2012-02-23,KOSDAQ,BREAKOUT,BULL,72.7,2.4,544.28,-0.869,-1.369,LOSS,10,2012-03-09
2012-02-24,KOSPI,BREAKOUT,SIDE,62.1,1.1,2013.61,-0.552,-1.052,LOSS,10,2012-03-12
2012-02-24,KOSDAQ,BREAKOUT,SIDE,85.3,2.7,545.84,-1.783,-2.283,LOSS,10,2012-03-12
2012-02-27,KOSDAQ,BREAKOUT,SIDE,72.9,1.4,541.3,-0.525,-1.025,LOSS,10,2012-03-13
2012-02-28,KOSDAQ,BREAKOUT,SIDE,73.0,1.5,543.96,-0.938,-1.438,LOSS,10,2012-03-14
2012-02-29,KOSDAQ,BREAKOUT,BULL,72.0,1.6,545.17,-1.258,-1.758,LOSS,10,2012-03-15
2012-03-02,KOSPI,BREAKOUT,BULL,60.1,1.3,2028.97,0.27,-0.23,LOSS,10,2012-03-16
2012-03-02,KOSDAQ,BREAKOUT,BULL,70.0,1.7,546.01,-1.141,-1.641,LOSS,10,2012-03-16
2012-03-19,KOSPI,BREAKOUT,BULL,63.1,1.4,2046.38,-0.835,-1.335,LOSS,10,2012-04-02
2012-03-27,KOSPI,BREAKOUT,SIDE,67.2,0.8,2034.35,-1.963,-2.463,LOSS,10,2012-04-10
2012-03-30,KOSDAQ,BOTTOM_CATCH,SIDE,26.9,-2.3,521.87,-5.0,-5.5,LOSS,4,2012-04-05
2012-04-05,KOSDAQ,BOTTOM_CATCH,SIDE,15.3,-4.5,504.29,-1.335,-1.835,LOSS,10,2012-04-20
2012-04-13,KOSDAQ,BOTTOM_CATCH,SIDE,30.9,-3.1,496.42,-3.493,-3.993,LOSS,10,2012-04-27
2012-05-17,KOSPI,BOTTOM_CATCH,BEAR,22.9,-5.4,1813.79,1.142,0.642,WIN,10,2012-06-01
2012-05-22,KOSPI,BOTTOM_CATCH,BEAR,21.0,-4.9,1815.33,1.797,1.297,WIN,10,2012-06-07
2012-05-24,KOSPI,BOTTOM_CATCH,BEAR,21.8,-4.9,1818.62,2.662,2.162,WIN,10,2012-06-11
2012-05-25,KOSPI,BOTTOM_CATCH,BEAR,26.9,-4.1,1821.63,1.818,1.318,WIN,10,2012-06-12
2012-05-29,KOSPI,BOTTOM_CATCH,BEAR,30.6,-2.4,1846.12,0.715,0.215,WIN,10,2012-06-13
