시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
미국주식,PLTR,Palantir (PLTR),직전장 기준 확인 필요,$136.88,$130.04,$150.57,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,RIOT,Riot Platforms (RIOT),직전장 기준 확인 필요,$24.49,$23.27,$26.94,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,SNDK,SanDisk (SNDK),"$1,478.69","$1,478.69","$1,404.76","$1,626.56",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,SMCI,Super Micro Computer (SMCI),직전장 기준 확인 필요,$35.58,$33.80,$39.14,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,TSM,TSMC (TSM),직전장 기준 확인 필요,$404.52,$384.29,$444.97,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,TSLA,Tesla (TSLA),직전장 기준 확인 필요,$426.01,$404.71,$468.61,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,AAOI,AAOI,$181.49,-,-,-,장중 미수신 · 직전장 기준,70.3,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,AAPL,AAPL,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,68.6,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,ACHR,ACHR,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,66.9,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,ALAB,ALAB,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,65.2,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,XLE,XLE,60.73,-,-,-,장중 미수신 · 직전장 기준,64.5,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,AMD,AMD,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,63.5,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,DDOG,DDOG,210.62,-,-,-,장중 미수신 · 직전장 기준,63.3,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,ANET,ANET,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,60.1,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,CRWD,CRWD,623.59,-,-,-,장중 미수신 · 직전장 기준,59.8,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,BMNR,BMNR,$18.88,-,-,-,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,IWM,Russell 2000 ETF (IWM),직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,ASTS,ASTS (ASTS),$105.86,-,-,-,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,RKLB,RKLB (RKLB),$135.76,-,-,-,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,SIMO,SIMO (SIMO),$276.14,-,-,-,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
