condition_key,sample_count,avg_return_1d,avg_return_3d,avg_return_5d,avg_return_10d,tp1_hit_rate_5d,stop_hit_rate_5d,tp_first_rate,stop_first_rate,market_outperform_rate_5d,sector_outperform_rate_5d,expected_return_5d
score_unknown|rr_unknown|entry_unknown|sector=반도체/AI|chart=unknown|news_unknown|market=데이터 부족|entry=unknown|agg_unknown,14,0.0,0.0,3.1549,0.0,50.0,35.71,50.0,35.71,0.0,0.0,3.1549
score_unknown|rr_fail|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,12,0.0,0.0,6.4615,0.0,100.0,16.67,83.33,0.0,0.0,0.0,6.4615
score_unknown|rr_fail|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,10,0.0,0.0,4.6886,0.0,60.0,70.0,30.0,40.0,0.0,0.0,4.6886
score_unknown|rr_fail|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,10,0.0,0.0,3.6963,0.0,90.0,10.0,80.0,0.0,0.0,0.0,3.6963
score_unknown|rr_fail|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,9,0.0,0.0,2.4598,0.0,33.33,55.56,22.22,44.44,0.0,0.0,2.4598
score_unknown|rr_fail|entry_unknown|sector=지수형|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,8,0.0,0.0,2.6768,0.0,25.0,50.0,12.5,37.5,0.0,0.0,2.6768
score_unknown|rr_unknown|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,7,0.0,0.0,5.4846,0.0,71.43,28.57,71.43,28.57,0.0,0.0,5.4846
score_unknown|rr_unknown|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_unknown|market=데이터 부족|entry=unknown|agg_unknown,7,0.0,0.0,5.0928,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5.0928
score_unknown|rr_3+|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,6,0.0,0.0,7.7102,0.0,83.33,0.0,83.33,0.0,0.0,0.0,7.7102
score_unknown|rr_3+|entry_unknown|sector=지수형|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,6,0.0,0.0,5.7345,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5.7345
score_unknown|rr_1.5_1.99|entry_unknown|sector=지수형|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,6,0.0,0.0,3.0591,0.0,50.0,16.67,33.33,0.0,0.0,0.0,3.0591
score_unknown|rr_1.5_1.99|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,5,0.0,0.0,7.909,0.0,100.0,0.0,100.0,0.0,0.0,0.0,7.909
score_unknown|rr_2_2.99|entry_unknown|sector=지수형|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,5,0.0,0.0,4.9763,0.0,60.0,20.0,60.0,20.0,0.0,0.0,4.9763
score_unknown|rr_unknown|entry_unknown|sector=빅테크|chart=unknown|news_unknown|market=데이터 부족|entry=unknown|agg_unknown,5,0.0,0.0,2.9493,0.0,40.0,0.0,40.0,0.0,0.0,0.0,2.9493
score_unknown|rr_fail|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,5,0.0,0.0,2.5939,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2.5939
score_unknown|rr_unknown|entry_unknown|sector=빅테크|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,5,0.0,0.0,1.5414,0.0,20.0,0.0,20.0,0.0,0.0,0.0,1.5414
score_unknown|rr_1.5_1.99|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,4,0.0,0.0,3.3663,0.0,50.0,25.0,50.0,25.0,0.0,0.0,3.3663
score_unknown|rr_fail|entry_unknown|sector=지수형|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,4,0.0,0.0,1.7819,0.0,50.0,25.0,50.0,25.0,0.0,0.0,1.7819
score_unknown|rr_fail|entry_unknown|sector=반도체/AI|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,3,0.0,0.0,12.8965,0.0,100.0,0.0,100.0,0.0,0.0,0.0,12.8965
score_unknown|rr_3+|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,3,0.0,0.0,11.0094,0.0,100.0,0.0,100.0,0.0,0.0,0.0,11.0094
score_unknown|rr_2_2.99|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,3,0.0,0.0,4.4684,0.0,100.0,0.0,100.0,0.0,0.0,0.0,4.4684
score_unknown|rr_fail|entry_unknown|sector=전기차/성장주|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,3,0.0,0.0,3.6104,0.0,66.67,66.67,33.33,33.33,0.0,0.0,3.6104
score_unknown|rr_2_2.99|entry_unknown|sector=지수형|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,3,0.0,0.0,1.6212,0.0,0.0,66.67,0.0,66.67,0.0,0.0,1.6212
score_unknown|rr_fail|entry_unknown|sector=빅테크|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,3,0.0,0.0,1.0512,0.0,33.33,0.0,33.33,0.0,0.0,0.0,1.0512
score_unknown|rr_1.5_1.99|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,3,0.0,0.0,0.2178,0.0,0.0,66.67,0.0,66.67,0.0,0.0,0.2178
score_unknown|rr_2_2.99|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,8.1215,0.0,100.0,0.0,100.0,0.0,0.0,0.0,8.1215
score_unknown|rr_1.5_1.99|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,6.7694,0.0,100.0,0.0,100.0,0.0,0.0,0.0,6.7694
score_unknown|rr_3+|entry_unknown|sector=반도체/AI|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,6.671,0.0,100.0,0.0,100.0,0.0,0.0,0.0,6.671
score_unknown|rr_fail|entry_unknown|sector=전기차/성장주|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,2,0.0,0.0,5.1533,0.0,100.0,50.0,50.0,0.0,0.0,0.0,5.1533
score_unknown|rr_3+|entry_unknown|sector=지수형|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,2,0.0,0.0,5.0711,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5.0711
score_unknown|rr_fail|entry_unknown|sector=반도체/AI|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,2,0.0,0.0,4.2174,0.0,100.0,100.0,0.0,0.0,0.0,0.0,4.2174
score_unknown|rr_3+|entry_unknown|sector=빅테크|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,2.4415,0.0,50.0,0.0,50.0,0.0,0.0,0.0,2.4415
score_unknown|rr_2_2.99|entry_unknown|sector=빅테크|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,1.7254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7254
score_unknown|rr_2_2.99|entry_unknown|sector=빅테크|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,1.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6578
score_unknown|rr_fail|entry_unknown|sector=빅테크|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,2,0.0,0.0,0.9021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9021
score_unknown|rr_fail|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,8.8755,0.0,100.0,0.0,100.0,0.0,0.0,0.0,8.8755
score_unknown|rr_3+|entry_unknown|sector=반도체/AI|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,5.648,0.0,100.0,100.0,0.0,0.0,0.0,0.0,5.648
score_unknown|rr_3+|entry_unknown|sector=반도체/AI|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,5.3949,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5.3949
score_unknown|rr_3+|entry_unknown|sector=전기차/성장주|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,3.8356,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3.8356
score_unknown|rr_1.5_1.99|entry_unknown|sector=지수형|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,3.7489,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3.7489
score_unknown|rr_1.5_1.99|entry_unknown|sector=반도체/AI|chart=unknown|news_Unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,3.5827,0.0,100.0,100.0,0.0,0.0,0.0,0.0,3.5827
score_unknown|rr_3+|entry_unknown|sector=빅테크|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,3.5143,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3.5143
score_unknown|rr_3+|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,3.319,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3.319
score_unknown|rr_3+|entry_unknown|sector=지수형|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,3.0433,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3.0433
score_unknown|rr_1.5_1.99|entry_unknown|sector=빅테크|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,2.8471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8471
score_unknown|rr_3+|entry_unknown|sector=클라우드/소프트웨어|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,2.6709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6709
score_unknown|rr_1.5_1.99|entry_unknown|sector=지수형|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,1.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6055
score_unknown|rr_fail|entry_unknown|sector=빅테크|chart=unknown|news_Unknown|market=데이터 부족|entry=unknown|agg_unknown,1,0.0,0.0,1.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1024
score_unknown|rr_1.5_1.99|entry_unknown|sector=빅테크|chart=unknown|news_A|market=이벤트 변동성장|entry=unknown|agg_unknown,1,0.0,0.0,1.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067
