시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
한국주식,373220,LG에너지솔루션,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,006400,삼성SDI,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,051910,LG화학,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,003670,포스코퓨처엠,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,247540,에코프로비엠,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,086520,에코프로,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,066970,엘앤에프,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,006360,GS건설,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,105560,KB금융,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,055550,신한지주,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,086790,하나금융지주,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,138040,메리츠금융지주,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
