market,symbol,name,corp_code,title,date,rcept_no,source,url,collection_status,collection_message,collected_at
kr,054180,메디콕스,00356839,타인에대한담보제공결정              ,20260716,20260716901081,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716901081,000,정상,2026-07-20 09:35:20
kr,080010,이상네트웍스,00454399,불성실공시법인미지정              (지정유예),20260716,20260716901089,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716901089,000,정상,2026-07-20 09:35:20
kr,,디비건설,01158359,[기재정정]특수관계인에대한자금대여,20260716,20260716000843,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000843,000,정상,2026-07-20 09:35:20
kr,,노블랜드,01020056,[기재정정]특수관계인으로부터자금차입,20260716,20260716000842,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000842,000,정상,2026-07-20 09:35:20
kr,271560,오리온,01238169,[기재정정]주권관련사채권의취득결정(자율공시)(종속회사의주요경영사항)              ,20260716,20260716801086,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801086,000,정상,2026-07-20 09:35:20
kr,271560,오리온,01238169,[기재정정]타법인주식및출자증권취득결정(자율공시)(종속회사의주요경영사항)              ,20260716,20260716801084,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801084,000,정상,2026-07-20 09:35:20
kr,,신세계프라퍼티,01003253,특수관계인에대한출자,20260716,20260716000841,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000841,000,정상,2026-07-20 09:35:20
kr,,프렌빌,01729421,감사보고서 (2025.12),20260716,20260716000840,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000840,000,정상,2026-07-20 09:35:20
kr,340810,시선AI,01315042,[기재정정]주요사항보고서(유상증자결정),20260716,20260716000836,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000836,000,정상,2026-07-20 09:35:20
kr,011300,우성머티리얼스,00132868,소액공모공시서류(지분증권),20260716,20260716000839,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000839,000,정상,2026-07-20 09:35:20
kr,472850,폰드그룹,01806951,주식등의대량보유상황보고서(일반),20260716,20260716000838,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000838,000,정상,2026-07-20 09:35:20
kr,143540,영우디에스피,00569646,임원ㆍ주요주주특정증권등소유상황보고서,20260716,20260716000837,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000837,000,정상,2026-07-20 09:35:20
kr,001800,오리온홀딩스,00117577,[기재정정]주권관련사채권의취득결정(자율공시)(종속회사의주요경영사항)              ,20260716,20260716801076,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801076,000,정상,2026-07-20 09:35:20
