종목코드,종목명,매출,영업이익,순이익,PER,PBR,ROE,부채비율,영업이익률,가치판단,출처
454910,두산로보틱스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
402340,SK스퀘어,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
145020,휴젤,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
34730,SK,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
58470,리노공업,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
95340,ISC,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
3550,LG,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
86280,현대글로비스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
89030,테크윙,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
47810,한국항공우주,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
720,현대건설,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
810,삼성화재,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
39030,이오테크닉스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
222800,심텍,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
32640,LG유플러스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
12450,한화에어로스페이스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
30200,KT,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
35900,JYP Ent.,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
3620,KG모빌리티,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
67310,하나마이크론,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
79550,LIG넥스원,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
5070,코스모신소재,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
259960,크래프톤,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
96770,SK이노베이션,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
3670,포스코퓨처엠,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
196170,알테오젠,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
7660,이수페타시스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
64350,현대로템,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
66970,엘앤에프,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
6260,LS,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
51910,LG화학,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
326030,SK바이오팜,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
373220,LG에너지솔루션,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
