종목코드,종목명,시장,가치평가,가치점수,핵심 KPI,판단근거
277810,레인보우로보틱스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
121600,나노신소재,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
108490,로보티즈,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
4020,현대제철,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
375500,DL이앤씨,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
6360,GS건설,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
267260,HD현대일렉트릭,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
55550,신한지주,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
1440,대한전선,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
270,기아,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
105560,KB금융,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
32830,삼성생명,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
90360,로보스타,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
86520,에코프로,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
10140,삼성중공업,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
86790,하나금융지주,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
36930,주성엔지니어링,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
6400,삼성SDI,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
240810,원익IPS,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5930,삼성전자,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
103590,일진전기,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
353200,대덕전자,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
9150,삼성전기,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
454910,두산로보틱스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
402340,SK스퀘어,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
145020,휴젤,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
34730,SK,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
58470,리노공업,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
95340,ISC,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3550,LG,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
86280,현대글로비스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
89030,테크윙,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
47810,한국항공우주,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
720,현대건설,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
810,삼성화재,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
39030,이오테크닉스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
222800,심텍,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
32640,LG유플러스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
12450,한화에어로스페이스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
30200,KT,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
35900,JYP Ent.,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3620,KG모빌리티,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
67310,하나마이크론,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
79550,LIG넥스원,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5070,코스모신소재,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
259960,크래프톤,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
96770,SK이노베이션,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3670,포스코퓨처엠,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
196170,알테오젠,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
7660,이수페타시스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
64350,현대로템,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
66970,엘앤에프,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
6260,LS,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
51910,LG화학,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
326030,SK바이오팜,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
373220,LG에너지솔루션,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
