symbol,market,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,intraday_volume_ratio,intraday_trading_value_ratio,intraday_data_available,intraday_data_source,intraday_fetch_status,intraday_failure_reason,intraday_market_session,market_session_status,intraday_updated_at,intraday_warning,quote_available,quote_partial_available,quote_full_available,quote_source,quote_source_label,kis_quote_attempted,kis_quote_success,kis_quote_error,kis_exchange_code,quote_failure_reason,quote_retry_used,quote_fallback_used,quote_fallback_source,quote_fallback_price,quote_fallback_warning,bid_total_volume,ask_total_volume,orderbook_imbalance,execution_strength
ORCL,미국주식,186.65,0.02,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,186.65,"quote API 미수신, 가격 fallback 사용",,,,
LLY,미국주식,989.73,0.17,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,989.73,"quote API 미수신, 가격 fallback 사용",,,,
DUOL,미국주식,117.74,3.97,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,117.74,"quote API 미수신, 가격 fallback 사용",,,,
RDDT,미국주식,159.83,0.45,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,159.83,"quote API 미수신, 가격 fallback 사용",,,,
NVO,미국주식,44.35,0.17,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,44.35,"quote API 미수신, 가격 fallback 사용",,,,
PLTR,미국주식,135.81,0.5,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NYS | request_error:URLError; EXCD=NAS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NYS | request_error:URLError; EXCD=NAS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,135.81,"quote API 미수신, 가격 fallback 사용",,,,
SNOW,미국주식,171.71,4.55,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,171.71,"quote API 미수신, 가격 fallback 사용",,,,
CRM,미국주식,186.15,3.72,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,186.15,"quote API 미수신, 가격 fallback 사용",,,,
PATH,미국주식,11.06,3.95,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,11.06,"quote API 미수신, 가격 fallback 사용",,,,
ESTC,미국주식,55.51,2.96,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:44,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,55.51,"quote API 미수신, 가격 fallback 사용",,,,
003550,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
010120,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
259960,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
003490,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
028670,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
278470,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
095340,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
004020,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
010950,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
131970,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
012450,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
277810,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
005380,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
222800,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
011070,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
005490,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
000810,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
079550,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
034020,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
000720,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
000660,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
018260,한국주식,,0.0,0.0,0.0,0.0,0.0,False,api_unavailable_safe,market_closed,market_closed,closed,closed,2026-05-20 22:54:44,장 마감 또는 장전 시간; market_closed; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,False,False,,,market_closed,False,False,,,,,,,
ASTS,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
BMNR,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
CAT,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
CRCL,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
INTC,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
LITE,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
NBIS,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
RKLB,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
SNDK,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:44,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
AAOI,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
SIMO,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
NVDA,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
GOOGL,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
TSLA,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
IONQ,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
LUNR,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
OKLO,미국주식,,0.0,0.0,0.0,0.0,0.0,False,missing,no_data,api_response_empty,regular,regular,2026-05-20 22:54:45,미국주식 현재가 API 응답 없음 (호가/수급은 별도 미지원 가능); api_response_empty; 호가/체결강도 데이터 미지원 또는 미수신,False,False,False,missing,현재가 미수신,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,api_response_empty,False,False,,,,,,,
