market,symbol,name,sources,date,status,dataStatus,missingReason,ohlcvSource
kr,086790,하나금융지주,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,086900,메디톡스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,089030,테크윙,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,090360,로보스타,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,095340,ISC,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,096770,SK이노베이션,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,103590,일진전기,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,105560,KB금융,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,108320,LX세미콘,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,108490,로보티즈,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,121600,나노신소재,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,128940,한미약품,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,131970,두산테스나,holdings_kr.csv|kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,138040,메리츠금융지주,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,145020,휴젤,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,196170,알테오젠,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,207940,삼성바이오로직스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,214150,클래시스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,214450,파마리서치,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,222800,심텍,holdings_kr.csv|kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,240810,원익IPS,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,247540,에코프로비엠,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,259960,크래프톤,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,267260,HD현대일렉트릭,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,272210,한화시스템,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,277810,레인보우로보틱스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,278280,천보,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,278470,에이피알,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,293490,카카오게임즈,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,298040,효성중공업,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,326030,SK바이오팜,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,329180,HD현대중공업,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,352820,하이브,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,353200,대덕전자,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,373220,LG에너지솔루션,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,375500,DL이앤씨,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,402340,SK스퀘어,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,403870,HPSP,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,454910,두산로보틱스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
