symbol,market,flow_mode,foreign_net_buy,institution_net_buy,individual_net_buy,program_net_buy,foreign_flow_score,institution_flow_score,program_flow_score,intraday_flow_score,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,volume_growth_pct,trading_value_growth_pct,execution_strength,orderbook_pressure,intraday_momentum_score,flow_data_available,flow_available,flow_data_source,flow_source,flow_source_label,flow_fetch_status,flow_failure_reason,kr_flow_attempted,kr_flow_success,kr_flow_error,flow_updated_at,flow_warning
NVO,미국주식,us_momentum,,,,,,,,50,44.35,0.17,0.0,0.0,,,,0.0,50.17,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
PLTR,미국주식,us_momentum,,,,,,,,50,135.81,0.5,0.0,0.0,,,,0.0,50.5,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
SNOW,미국주식,us_momentum,,,,,,,,54,171.71,4.55,0.0,0.0,,,,0.0,54.55,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
CRM,미국주식,us_momentum,,,,,,,,53,186.15,3.72,0.0,0.0,,,,0.0,53.72,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
PATH,미국주식,us_momentum,,,,,,,,53,11.06,3.95,0.0,0.0,,,,0.0,53.95,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
ESTC,미국주식,us_momentum,,,,,,,,52,55.51,2.96,0.0,0.0,,,,0.0,52.96,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
003550,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
010120,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
259960,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
003490,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
028670,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
278470,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
095340,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
004020,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
010950,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
131970,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
012450,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
277810,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
005380,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
222800,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
011070,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
005490,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
000810,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
079550,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
034020,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
000720,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
000660,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
018260,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,market_closed,market_closed,False,False,unknown,2026-05-20 22:54:51,수급/프로그램 데이터 미지원 또는 미수신
ASTS,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
BMNR,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
CAT,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
CRCL,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
INTC,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
LITE,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
NBIS,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
RKLB,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:51,
SNDK,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
AAOI,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
SIMO,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
NVDA,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
GOOGL,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
TSLA,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
IONQ,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
LUNR,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
OKLO,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
HUT,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
IREN,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
QQQ,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
SOXX,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
BTC-USD,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
IWM,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
AMD,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
AVGO,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
MU,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
MRVL,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
ARM,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
SMCI,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
ANET,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
ALAB,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
CRDO,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
COHR,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
META,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
AMZN,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:52,
AAPL,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:53,
HOOD,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:53,
COIN,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,2026-05-20 22:54:53,
