시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
미국주식,,Costco (COST),눌림목,"$1,028.24",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Intel (INTC),눌림목,$119.84,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Lumentum (LITE),눌림목,$946.90,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,NVIDIA (NVDA),눌림목,$215.33,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Nebius (NBIS),눌림목,$214.77,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Palantir (PLTR),눌림목,$136.88,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Riot Platforms (RIOT),눌림목,$24.49,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,SanDisk (SNDK),눌림목,"$1,478.69",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Super Micro Computer (SMCI),눌림목,$35.58,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,TSMC (TSM),눌림목,$404.52,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Tesla (TSLA),눌림목,$426.01,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,SNOW,SNOW,수급·거래대금,171.71,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,MDB,MDB,수급·거래대금,343.86,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,DUOL,DUOL,수급·거래대금,117.74,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,CRM,CRM,수급·거래대금,186.15,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,PATH,PATH,수급·거래대금,11.06,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,OKTA,OKTA,수급·거래대금,88.82,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,ESTC,ESTC,수급·거래대금,55.51,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,MSFT,MSFT,수급·거래대금,431.07,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,APP,APP,수급·거래대금,501.1,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,S,S,수급·거래대금,17.76,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,NET,NET,수급·거래대금,204.73,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,GOOGL,GOOGL,수급·거래대금,-,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,SNDK,SanDisk,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,NBIS,Nebius,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,CRCL,Circle,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,BMNR,BMNR,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Alphabet (GOOGL),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Amazon (AMZN),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Caterpillar (CAT),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Circle (CRCL),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Cloudflare (NET),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Costco (COST),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Energy ETF (XLE),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Intel (INTC),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Lumentum (LITE),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,NVIDIA (NVDA),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Nebius (NBIS),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Palantir (PLTR),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Riot Platforms (RIOT),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Russell 2000 ETF (IWM),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,SanDisk (SNDK),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Super Micro Computer (SMCI),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,TSMC (TSM),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Tesla (TSLA),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
